manudur,atvinnugrein,fjoldi,heildarfjoldi,hlutur
2002-07,"Fiskveiðar, -eldi og -vinnsla",407,3903,0.104279
2002-07,Iðnaður,482,3903,0.123495
2002-07,Sorp og veitur,27,3903,0.006918
2002-07,Byggingastarfsemi og mannvirkjagerð,238,3903,0.060979
2002-07,Verslun og vöruflutningar,863,3903,0.221112
2002-07,Farþegaflutningar með flugi,17,3903,0.004356
2002-07,Gistiþjónusta,57,3903,0.014604
2002-07,Veitingaþjónusta,198,3903,0.050730
2002-07,Ferðaþjónusta ýmis,60,3903,0.015373
2002-07,Upplýsingar og fjarskipti,189,3903,0.048424
2002-07,Fjármála- og vátryggingastarfsemi,59,3903,0.015117
2002-07,Fasteignaviðskipti,8,3903,0.002050
2002-07,"Sérfræðileg, vísindaleg og tæknileg starfsemi",87,3903,0.022291
2002-07,Ýmis þjónustustarfsemi,156,3903,0.039969
2002-07,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",701,3903,0.179605
2002-07,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",193,3903,0.049449
2002-07,Annað,134,3903,0.034333
2002-08,Landbúnaður og skógrækt,20,3566,0.005609
2002-08,"Fiskveiðar, -eldi og -vinnsla",384,3566,0.107684
2002-08,Iðnaður,430,3566,0.120583
2002-08,Sorp og veitur,25,3566,0.007011
2002-08,Byggingastarfsemi og mannvirkjagerð,229,3566,0.064218
2002-08,Verslun og vöruflutningar,782,3566,0.219293
2002-08,Farþegaflutningar með flugi,20,3566,0.005609
2002-08,Gistiþjónusta,54,3566,0.015143
2002-08,Veitingaþjónusta,167,3566,0.046831
2002-08,Ferðaþjónusta ýmis,66,3566,0.018508
2002-08,Upplýsingar og fjarskipti,181,3566,0.050757
2002-08,Fjármála- og vátryggingastarfsemi,70,3566,0.019630
2002-08,Fasteignaviðskipti,8,3566,0.002243
2002-08,"Sérfræðileg, vísindaleg og tæknileg starfsemi",81,3566,0.022715
2002-08,Ýmis þjónustustarfsemi,149,3566,0.041784
2002-08,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",613,3566,0.171901
2002-08,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",167,3566,0.046831
2002-08,Annað,120,3566,0.033651
2002-09,Landbúnaður og skógrækt,24,3583,0.006698
2002-09,"Fiskveiðar, -eldi og -vinnsla",341,3583,0.095172
2002-09,Iðnaður,403,3583,0.112476
2002-09,Sorp og veitur,32,3583,0.008931
2002-09,Byggingastarfsemi og mannvirkjagerð,254,3583,0.070890
2002-09,Verslun og vöruflutningar,783,3583,0.218532
2002-09,Farþegaflutningar með flugi,30,3583,0.008373
2002-09,Gistiþjónusta,77,3583,0.021490
2002-09,Veitingaþjónusta,155,3583,0.043260
2002-09,Ferðaþjónusta ýmis,84,3583,0.023444
2002-09,Upplýsingar og fjarskipti,198,3583,0.055261
2002-09,Fjármála- og vátryggingastarfsemi,67,3583,0.018699
2002-09,Fasteignaviðskipti,8,3583,0.002233
2002-09,"Sérfræðileg, vísindaleg og tæknileg starfsemi",77,3583,0.021490
2002-09,Ýmis þjónustustarfsemi,167,3583,0.046609
2002-09,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",573,3583,0.159922
2002-09,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",172,3583,0.048004
2002-09,Annað,138,3583,0.038515
2002-10,Landbúnaður og skógrækt,32,4080,0.007843
2002-10,"Fiskveiðar, -eldi og -vinnsla",428,4080,0.104902
2002-10,Iðnaður,442,4080,0.108333
2002-10,Sorp og veitur,48,4080,0.011765
2002-10,Byggingastarfsemi og mannvirkjagerð,300,4080,0.073529
2002-10,Verslun og vöruflutningar,842,4080,0.206373
2002-10,Farþegaflutningar með flugi,54,4080,0.013235
2002-10,Gistiþjónusta,83,4080,0.020343
2002-10,Veitingaþjónusta,199,4080,0.048775
2002-10,Ferðaþjónusta ýmis,105,4080,0.025735
2002-10,Upplýsingar og fjarskipti,189,4080,0.046324
2002-10,Fjármála- og vátryggingastarfsemi,88,4080,0.021569
2002-10,Fasteignaviðskipti,11,4080,0.002696
2002-10,"Sérfræðileg, vísindaleg og tæknileg starfsemi",97,4080,0.023775
2002-10,Ýmis þjónustustarfsemi,180,4080,0.044118
2002-10,"Opinber þjónusta, fræðsla, heilbrigðis- og félagsþjónusta",610,4080,0.149510
2002-10,"Listir, söfn, tómstundir, félög, persónuleg þjónusta o.fl.",195,4080,0.047794
2002-10,Annað,177,4080,0.043382
2002-11,Landbúnaður og skógrækt,36,4582,0.007857
