Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2004Q1,Outside Capital region,Females,16-74,Unemployed (Estimated number),1000
2004Q1,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",11
2004Q1,Outside Capital region,Females,16-24,Unemployed (Estimated number),300
2004Q1,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.2
2004Q1,Outside Capital region,Females,25-54,Unemployed (Estimated number),600
2004Q1,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.5
2004Q1,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2004Q2,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.5
2004Q2,Total,Males and females,16-74,Unemployed (Estimated number),7300
2004Q2,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",13.1
2004Q2,Total,Males and females,16-24,Unemployed (Estimated number),3900
2004Q2,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.2
2004Q2,Total,Males and females,25-54,Unemployed (Estimated number),2300
2004Q2,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4.3
2004Q2,Total,Males and females,55-74,Unemployed (Estimated number),1100
2004Q2,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5.8
2004Q2,Total,Males,16-74,Unemployed (Estimated number),5000
2004Q2,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",17.7
2004Q2,Total,Males,16-24,Unemployed (Estimated number),2800
2004Q2,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2004Q2,Total,Males,25-54,Unemployed (Estimated number),1400
2004Q2,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",5.6
2004Q2,Total,Males,55-74,Unemployed (Estimated number),800
2004Q2,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3
2004Q2,Total,Females,16-74,Unemployed (Estimated number),2300
2004Q2,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",7.8
2004Q2,Total,Females,16-24,Unemployed (Estimated number),1100
2004Q2,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.8
2004Q2,Total,Females,25-54,Unemployed (Estimated number),900
2004Q2,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.6
2004Q2,Total,Females,55-74,Unemployed (Estimated number),300
2004Q2,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.4
2004Q2,Capital region,Males and females,16-74,Unemployed (Estimated number),4600
2004Q2,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",11.9
2004Q2,Capital region,Males and females,16-24,Unemployed (Estimated number),2400
2004Q2,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2004Q2,Capital region,Males and females,25-54,Unemployed (Estimated number),1500
2004Q2,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",4.8
2004Q2,Capital region,Males and females,55-74,Unemployed (Estimated number),800
2004Q2,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",5.7
2004Q2,Capital region,Males,16-74,Unemployed (Estimated number),3100
2004Q2,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",17.5
2004Q2,Capital region,Males,16-24,Unemployed (Estimated number),1800
2004Q2,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.2
2004Q2,Capital region,Males,25-54,Unemployed (Estimated number),800
2004Q2,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",5.8
2004Q2,Capital region,Males,55-74,Unemployed (Estimated number),500
2004Q2,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.1
2004Q2,Capital region,Females,16-74,Unemployed (Estimated number),1600
2004Q2,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",5.9
2004Q2,Capital region,Females,16-24,Unemployed (Estimated number),600
2004Q2,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2004Q2,Capital region,Females,25-54,Unemployed (Estimated number),700
2004Q2,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.7
2004Q2,Capital region,Females,55-74,Unemployed (Estimated number),300
2004Q2,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",4.6
2004Q2,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),2700
2004Q2,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",15.6
2004Q2,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),1500
2004Q2,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.3
2004Q2,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),900
2004Q2,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
2004Q2,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),400
2004Q2,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",6
2004Q2,Outside Capital region,Males,16-74,Unemployed (Estimated number),2000
2004Q2,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",18.3
2004Q2,Outside Capital region,Males,16-24,Unemployed (Estimated number),1000
2004Q2,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",3.2
2004Q2,Outside Capital region,Males,25-54,Unemployed (Estimated number),700
2004Q2,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",5.4
2004Q2,Outside Capital region,Males,55-74,Unemployed (Estimated number),400
2004Q2,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2004Q2,Outside Capital region,Females,16-74,Unemployed (Estimated number),700
2004Q2,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",12.3
2004Q2,Outside Capital region,Females,16-24,Unemployed (Estimated number),500
2004Q2,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.2
2004Q2,Outside Capital region,Females,25-54,Unemployed (Estimated number),200
2004Q2,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",0
2004Q2,Outside Capital region,Females,55-74,Unemployed (Estimated number),0
2004Q3,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.9
2004Q3,Total,Males and females,16-74,Unemployed (Estimated number),4700
2004Q3,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",5.1
2004Q3,Total,Males and females,16-24,Unemployed (Estimated number),1500
2004Q3,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2004Q3,Total,Males and females,25-54,Unemployed (Estimated number),2700
2004Q3,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.1
2004Q3,Total,Males and females,55-74,Unemployed (Estimated number),600
2004Q3,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.2
2004Q3,Total,Males,16-74,Unemployed (Estimated number),1900
2004Q3,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",4.3
2004Q3,Total,Males,16-24,Unemployed (Estimated number),600
2004Q3,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2
2004Q3,Total,Males,25-54,Unemployed (Estimated number),1100
2004Q3,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.1
2004Q3,Total,Males,55-74,Unemployed (Estimated number),200
2004Q3,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.8
2004Q3,Total,Females,16-74,Unemployed (Estimated number),2800
2004Q3,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",6
2004Q3,Total,Females,16-24,Unemployed (Estimated number),900
2004Q3,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.2
2004Q3,Total,Females,25-54,Unemployed (Estimated number),1600
2004Q3,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.4
2004Q3,Total,Females,55-74,Unemployed (Estimated number),400
2004Q3,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2004Q3,Capital region,Males and females,16-74,Unemployed (Estimated number),3300
2004Q3,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",4.7
2004Q3,Capital region,Males and females,16-24,Unemployed (Estimated number),900
2004Q3,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.9
2004Q3,Capital region,Males and females,25-54,Unemployed (Estimated number),2000
2004Q3,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.4
2004Q3,Capital region,Males and females,55-74,Unemployed (Estimated number),400
2004Q3,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.1
2004Q3,Capital region,Males,16-74,Unemployed (Estimated number),1200
2004Q3,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",3.5
2004Q3,Capital region,Males,16-24,Unemployed (Estimated number),300
2004Q3,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2004Q3,Capital region,Males,25-54,Unemployed (Estimated number),700
2004Q3,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",0.9
2004Q3,Capital region,Males,55-74,Unemployed (Estimated number),100
2004Q3,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",4.3
2004Q3,Capital region,Females,16-74,Unemployed (Estimated number),2100
2004Q3,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",5.7
2004Q3,Capital region,Females,16-24,Unemployed (Estimated number),600
2004Q3,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",3.8
2004Q3,Capital region,Females,25-54,Unemployed (Estimated number),1200
2004Q3,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",4.2
2004Q3,Capital region,Females,55-74,Unemployed (Estimated number),300
2004Q3,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.5
2004Q3,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1500
2004Q3,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",6.2
2004Q3,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),600
2004Q3,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.9
2004Q3,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),700
2004Q3,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.6
2004Q3,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),200
2004Q3,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.3
2004Q3,Outside Capital region,Males,16-74,Unemployed (Estimated number),800
2004Q3,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",5.6
2004Q3,Outside Capital region,Males,16-24,Unemployed (Estimated number),300
2004Q3,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",1.8
2004Q3,Outside Capital region,Males,25-54,Unemployed (Estimated number),400
2004Q3,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.5
2004Q3,Outside Capital region,Males,55-74,Unemployed (Estimated number),100
2004Q3,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.8
2004Q3,Outside Capital region,Females,16-74,Unemployed (Estimated number),700
2004Q3,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",6.9
2004Q3,Outside Capital region,Females,16-24,Unemployed (Estimated number),300
2004Q3,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2004Q3,Outside Capital region,Females,25-54,Unemployed (Estimated number),400
2004Q3,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2004Q3,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2004Q4,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",2.7
2004Q4,Total,Males and females,16-74,Unemployed (Estimated number),4300
2004Q4,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",7.4
2004Q4,Total,Males and females,16-24,Unemployed (Estimated number),1800
2004Q4,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",1.9
2004Q4,Total,Males and females,25-54,Unemployed (Estimated number),2000
2004Q4,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",1.9
2004Q4,Total,Males and females,55-74,Unemployed (Estimated number),500
2004Q4,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.3
2004Q4,Total,Males,16-74,Unemployed (Estimated number),1900
2004Q4,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",7.1
2004Q4,Total,Males,16-24,Unemployed (Estimated number),800
2004Q4,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",1.6
2004Q4,Total,Males,25-54,Unemployed (Estimated number),900
2004Q4,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.3
2004Q4,Total,Males,55-74,Unemployed (Estimated number),200
2004Q4,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2004Q4,Total,Females,16-74,Unemployed (Estimated number),2300
2004Q4,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",7.7
2004Q4,Total,Females,16-24,Unemployed (Estimated number),900
2004Q4,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2004Q4,Total,Females,25-54,Unemployed (Estimated number),1000
2004Q4,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",2.8
2004Q4,Total,Females,55-74,Unemployed (Estimated number),300
2004Q4,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3
2004Q4,Capital region,Males and females,16-74,Unemployed (Estimated number),2900
2004Q4,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",6.9
2004Q4,Capital region,Males and females,16-24,Unemployed (Estimated number),1100
2004Q4,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.1
2004Q4,Capital region,Males and females,25-54,Unemployed (Estimated number),1400
2004Q4,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",2.5
2004Q4,Capital region,Males and females,55-74,Unemployed (Estimated number),400
2004Q4,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",2.5
2004Q4,Capital region,Males,16-74,Unemployed (Estimated number),1300
2004Q4,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",6.9
2004Q4,Capital region,Males,16-24,Unemployed (Estimated number),500
2004Q4,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",1.7
2004Q4,Capital region,Males,25-54,Unemployed (Estimated number),600
2004Q4,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1.6
2004Q4,Capital region,Males,55-74,Unemployed (Estimated number),100
2004Q4,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.5
2004Q4,Capital region,Females,16-74,Unemployed (Estimated number),1700
2004Q4,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",6.8
2004Q4,Capital region,Females,16-24,Unemployed (Estimated number),600
2004Q4,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.6
2004Q4,Capital region,Females,25-54,Unemployed (Estimated number),800
2004Q4,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",3.5
