Ársfjórðungur,Landsvæði,Kyn,Aldur,Eining,value
2003Q4,Outside Capital region,Males,16-74,Unemployed (Estimated number),800
2003Q4,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",11.8
2003Q4,Outside Capital region,Males,16-24,Unemployed (Estimated number),500
2003Q4,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",0.9
2003Q4,Outside Capital region,Males,25-54,Unemployed (Estimated number),200
2003Q4,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",1
2003Q4,Outside Capital region,Males,55-74,Unemployed (Estimated number),100
2003Q4,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",1.9
2003Q4,Outside Capital region,Females,16-74,Unemployed (Estimated number),500
2003Q4,Outside Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",3.5
2003Q4,Outside Capital region,Females,16-24,Unemployed (Estimated number),100
2003Q4,Outside Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.7
2003Q4,Outside Capital region,Females,25-54,Unemployed (Estimated number),300
2003Q4,Outside Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.4
2003Q4,Outside Capital region,Females,55-74,Unemployed (Estimated number),100
2004Q1,Total,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.5
2004Q1,Total,Males and females,16-74,Unemployed (Estimated number),5400
2004Q1,Total,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9.5
2004Q1,Total,Males and females,16-24,Unemployed (Estimated number),2100
2004Q1,Total,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.3
2004Q1,Total,Males and females,25-54,Unemployed (Estimated number),2400
2004Q1,Total,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.1
2004Q1,Total,Males and females,55-74,Unemployed (Estimated number),900
2004Q1,Total,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.1
2004Q1,Total,Males,16-74,Unemployed (Estimated number),3300
2004Q1,Total,Males,16-24,"Unemployment rate, % (Ratio of labour force)",11.8
2004Q1,Total,Males,16-24,Unemployed (Estimated number),1400
2004Q1,Total,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.4
2004Q1,Total,Males,25-54,Unemployed (Estimated number),1300
2004Q1,Total,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.3
2004Q1,Total,Males,55-74,Unemployed (Estimated number),600
2004Q1,Total,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.8
2004Q1,Total,Females,16-74,Unemployed (Estimated number),2100
2004Q1,Total,Females,16-24,"Unemployment rate, % (Ratio of labour force)",6.9
2004Q1,Total,Females,16-24,Unemployed (Estimated number),800
2004Q1,Total,Females,25-54,"Unemployment rate, % (Ratio of labour force)",2.2
2004Q1,Total,Females,25-54,Unemployed (Estimated number),1100
2004Q1,Total,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.7
2004Q1,Total,Females,55-74,Unemployed (Estimated number),200
2004Q1,Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.5
2004Q1,Capital region,Males and females,16-74,Unemployed (Estimated number),3500
2004Q1,Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9.3
2004Q1,Capital region,Males and females,16-24,Unemployed (Estimated number),1500
2004Q1,Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.2
2004Q1,Capital region,Males and females,25-54,Unemployed (Estimated number),1500
2004Q1,Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.1
2004Q1,Capital region,Males and females,55-74,Unemployed (Estimated number),500
2004Q1,Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",4.6
2004Q1,Capital region,Males,16-74,Unemployed (Estimated number),2400
2004Q1,Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",13.2
2004Q1,Capital region,Males,16-24,Unemployed (Estimated number),1100
2004Q1,Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",2.8
2004Q1,Capital region,Males,25-54,Unemployed (Estimated number),1000
2004Q1,Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.3
2004Q1,Capital region,Males,55-74,Unemployed (Estimated number),400
2004Q1,Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",2.4
2004Q1,Capital region,Females,16-74,Unemployed (Estimated number),1100
2004Q1,Capital region,Females,16-24,"Unemployment rate, % (Ratio of labour force)",5.5
2004Q1,Capital region,Females,16-24,Unemployed (Estimated number),500
2004Q1,Capital region,Females,25-54,"Unemployment rate, % (Ratio of labour force)",1.7
2004Q1,Capital region,Females,25-54,Unemployed (Estimated number),500
2004Q1,Capital region,Females,55-74,"Unemployment rate, % (Ratio of labour force)",1.8
2004Q1,Capital region,Females,55-74,Unemployed (Estimated number),100
2004Q1,Outside Capital region,Males and females,16-74,"Unemployment rate, % (Ratio of labour force)",3.5
2004Q1,Outside Capital region,Males and females,16-74,Unemployed (Estimated number),1900
2004Q1,Outside Capital region,Males and females,16-24,"Unemployment rate, % (Ratio of labour force)",9.8
2004Q1,Outside Capital region,Males and females,16-24,Unemployed (Estimated number),600
2004Q1,Outside Capital region,Males and females,25-54,"Unemployment rate, % (Ratio of labour force)",2.5
2004Q1,Outside Capital region,Males and females,25-54,Unemployed (Estimated number),900
2004Q1,Outside Capital region,Males and females,55-74,"Unemployment rate, % (Ratio of labour force)",3.2
2004Q1,Outside Capital region,Males and females,55-74,Unemployed (Estimated number),400
2004Q1,Outside Capital region,Males,16-74,"Unemployment rate, % (Ratio of labour force)",3.2
2004Q1,Outside Capital region,Males,16-74,Unemployed (Estimated number),1000
2004Q1,Outside Capital region,Males,16-24,"Unemployment rate, % (Ratio of labour force)",8.8
2004Q1,Outside Capital region,Males,16-24,Unemployed (Estimated number),300
2004Q1,Outside Capital region,Males,25-54,"Unemployment rate, % (Ratio of labour force)",1.8
2004Q1,Outside Capital region,Males,25-54,Unemployed (Estimated number),400
2004Q1,Outside Capital region,Males,55-74,"Unemployment rate, % (Ratio of labour force)",4.3
2004Q1,Outside Capital region,Males,55-74,Unemployed (Estimated number),300
2004Q1,Outside Capital region,Females,16-74,"Unemployment rate, % (Ratio of labour force)",3.8
