Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2009Q1,Manufacturing (C),"Quarterly change, %",-4.4
2009Q1,Manufacturing (C),"Annual change, %",4.4
2009Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,50.5
2009Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-6
2009Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",6.5
2009Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,55
2009Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-1.8
2009Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",5.4
2009Q1,Construction (F),Value of index,56
2009Q1,Construction (F),"Quarterly change, %",0.2
2009Q1,Construction (F),"Annual change, %",8.5
2009Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,51.1
2009Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-2.9
2009Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",3.4
2009Q1,Transportation and storage (H),Value of index,53
2009Q1,Transportation and storage (H),"Quarterly change, %",-1.7
2009Q1,Transportation and storage (H),"Annual change, %",7.7
2009Q1,Accommodation and food service activities (I),Value of index,52
2009Q1,Accommodation and food service activities (I),"Quarterly change, %",-1.5
2009Q1,Accommodation and food service activities (I),"Annual change, %",6.6
2009Q1,Information and communication (J),Value of index,52
2009Q1,Information and communication (J),"Quarterly change, %",-1.5
2009Q1,Information and communication (J),"Annual change, %",3.6
2009Q1,Financial and insurance activities (K),Value of index,58.3
2009Q1,Financial and insurance activities (K),"Quarterly change, %",3.2
2009Q1,Financial and insurance activities (K),"Annual change, %",-22.7
2009Q1,Real estate activities (L),Value of index,55.7
2009Q1,Real estate activities (L),"Quarterly change, %",-23
2009Q1,Real estate activities (L),"Annual change, %",1.6
2009Q1,"Professional, scientific and technical activities (M)",Value of index,57.2
2009Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",-2.6
2009Q1,"Professional, scientific and technical activities (M)","Annual change, %",2.1
2009Q1,Administrative and support service activities (N),Value of index,52
2009Q1,Administrative and support service activities (N),"Quarterly change, %",-3.5
2009Q1,Administrative and support service activities (N),"Annual change, %",5.7
2009Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,52.2
2009Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-3.7
2009Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.9
2009Q2,Total,Value of index,52.8
2009Q2,Total,"Quarterly change, %",0.2
2009Q2,Total,"Annual change, %",5
2009Q2,Private sector,Value of index,54.1
2009Q2,Private sector,"Quarterly change, %",-0.4
2009Q2,Private sector,"Annual change, %",4.4
2009Q2,Public sector,Value of index,52
2009Q2,Public sector,"Quarterly change, %",0.2
2009Q2,Public sector,"Annual change, %",5.5
2009Q2,Manufacturing (C),Value of index,51.5
2009Q2,Manufacturing (C),"Quarterly change, %",2.4
2009Q2,Manufacturing (C),"Annual change, %",4.9
2009Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,49.9
2009Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-1.2
2009Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",5.3
2009Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,54.1
2009Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-1.6
2009Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",5
2009Q2,Construction (F),Value of index,57.1
2009Q2,Construction (F),"Quarterly change, %",2
2009Q2,Construction (F),"Annual change, %",6.5
2009Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,52.3
2009Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",2.3
2009Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",4.8
2009Q2,Transportation and storage (H),Value of index,52.9
2009Q2,Transportation and storage (H),"Quarterly change, %",-0.2
2009Q2,Transportation and storage (H),"Annual change, %",6.7
2009Q2,Accommodation and food service activities (I),Value of index,53.3
2009Q2,Accommodation and food service activities (I),"Quarterly change, %",2.5
2009Q2,Accommodation and food service activities (I),"Annual change, %",6.4
2009Q2,Information and communication (J),Value of index,53
2009Q2,Information and communication (J),"Quarterly change, %",1.9
2009Q2,Information and communication (J),"Annual change, %",5.4
2009Q2,Financial and insurance activities (K),Value of index,53.4
2009Q2,Financial and insurance activities (K),"Quarterly change, %",-8.4
2009Q2,Financial and insurance activities (K),"Annual change, %",-2.2
2009Q2,Real estate activities (L),Value of index,55.9
2009Q2,Real estate activities (L),"Quarterly change, %",0.4
2009Q2,Real estate activities (L),"Annual change, %",-2.8
2009Q2,"Professional, scientific and technical activities (M)",Value of index,58.1
2009Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",1.6
2009Q2,"Professional, scientific and technical activities (M)","Annual change, %",4.1
2009Q2,Administrative and support service activities (N),Value of index,53
2009Q2,Administrative and support service activities (N),"Quarterly change, %",1.9
2009Q2,Administrative and support service activities (N),"Annual change, %",6.9
2009Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,52.3
2009Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",0.2
2009Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",6.1
2009Q3,Total,Value of index,50.5
2009Q3,Total,"Quarterly change, %",-4.4
2009Q3,Total,"Annual change, %",2.4
2009Q3,Private sector,Value of index,51.7
2009Q3,Private sector,"Quarterly change, %",-4.4
2009Q3,Private sector,"Annual change, %",1.6
2009Q3,Public sector,Value of index,49.5
2009Q3,Public sector,"Quarterly change, %",-4.8
2009Q3,Public sector,"Annual change, %",3.3
2009Q3,Manufacturing (C),Value of index,49.1
2009Q3,Manufacturing (C),"Quarterly change, %",-4.7
2009Q3,Manufacturing (C),"Annual change, %",3.8
2009Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,46.1
2009Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-7.6
2009Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",1.5
2009Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,51.5
2009Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-4.8
2009Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",4.3
2009Q3,Construction (F),Value of index,55.9
2009Q3,Construction (F),"Quarterly change, %",-2.1
2009Q3,Construction (F),"Annual change, %",6.1
2009Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,50.1
2009Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-4.2
2009Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",4.4
2009Q3,Transportation and storage (H),Value of index,50.7
2009Q3,Transportation and storage (H),"Quarterly change, %",-4.2
2009Q3,Transportation and storage (H),"Annual change, %",4.3
2009Q3,Accommodation and food service activities (I),Value of index,52.6
2009Q3,Accommodation and food service activities (I),"Quarterly change, %",-1.3
2009Q3,Accommodation and food service activities (I),"Annual change, %",7.3
2009Q3,Information and communication (J),Value of index,51.5
2009Q3,Information and communication (J),"Quarterly change, %",-2.8
2009Q3,Information and communication (J),"Annual change, %",5.5
2009Q3,Financial and insurance activities (K),Value of index,49.8
2009Q3,Financial and insurance activities (K),"Quarterly change, %",-6.8
2009Q3,Financial and insurance activities (K),"Annual change, %",-13.1
2009Q3,Real estate activities (L),Value of index,55.1
2009Q3,Real estate activities (L),"Quarterly change, %",-1.4
2009Q3,Real estate activities (L),"Annual change, %",-1.8
2009Q3,"Professional, scientific and technical activities (M)",Value of index,55.7
2009Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-4.1
2009Q3,"Professional, scientific and technical activities (M)","Annual change, %",0
2009Q3,Administrative and support service activities (N),Value of index,51.4
2009Q3,Administrative and support service activities (N),"Quarterly change, %",-3
2009Q3,Administrative and support service activities (N),"Annual change, %",5.1
2009Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,49.7
2009Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-5
2009Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",4
2009Q4,Total,Value of index,56
2009Q4,Total,"Quarterly change, %",10.9
2009Q4,Total,"Annual change, %",3.5
2009Q4,Private sector,Value of index,57.6
2009Q4,Private sector,"Quarterly change, %",11.4
2009Q4,Private sector,"Annual change, %",4.5
2009Q4,Public sector,Value of index,54.6
2009Q4,Public sector,"Quarterly change, %",10.3
2009Q4,Public sector,"Annual change, %",0.7
2009Q4,Manufacturing (C),Value of index,55
2009Q4,Manufacturing (C),"Quarterly change, %",12
2009Q4,Manufacturing (C),"Annual change, %",4.6
2009Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,55.8
2009Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",21
2009Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",3.9
2009Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,57.7
2009Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",12
2009Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",3
2009Q4,Construction (F),Value of index,60.9
2009Q4,Construction (F),"Quarterly change, %",8.9
2009Q4,Construction (F),"Annual change, %",8.9
2009Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,55.2
2009Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",10.2
2009Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",4.9
2009Q4,Transportation and storage (H),Value of index,57.2
2009Q4,Transportation and storage (H),"Quarterly change, %",12.8
2009Q4,Transportation and storage (H),"Annual change, %",6.1
2009Q4,Accommodation and food service activities (I),Value of index,56.3
2009Q4,Accommodation and food service activities (I),"Quarterly change, %",7
2009Q4,Accommodation and food service activities (I),"Annual change, %",6.6
2009Q4,Information and communication (J),Value of index,57.3
2009Q4,Information and communication (J),"Quarterly change, %",11.3
2009Q4,Information and communication (J),"Annual change, %",8.5
2009Q4,Financial and insurance activities (K),Value of index,55.2
2009Q4,Financial and insurance activities (K),"Quarterly change, %",10.8
2009Q4,Financial and insurance activities (K),"Annual change, %",-2.3
2009Q4,Real estate activities (L),Value of index,69.1
2009Q4,Real estate activities (L),"Quarterly change, %",25.4
2009Q4,Real estate activities (L),"Annual change, %",-4.4
2009Q4,"Professional, scientific and technical activities (M)",Value of index,61.2
2009Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",9.9
2009Q4,"Professional, scientific and technical activities (M)","Annual change, %",4.3
2009Q4,Administrative and support service activities (N),Value of index,55.9
2009Q4,Administrative and support service activities (N),"Quarterly change, %",8.8
2009Q4,Administrative and support service activities (N),"Annual change, %",3.7
2009Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,55.1
2009Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",10.9
2009Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",1.7
2010Q1,Total,Value of index,53.2
2010Q1,Total,"Quarterly change, %",-5
2010Q1,Total,"Annual change, %",0.9
2010Q1,Private sector,Value of index,54.8
2010Q1,Private sector,"Quarterly change, %",-4.9
2010Q1,Private sector,"Annual change, %",0.9
2010Q1,Public sector,Value of index,52
2010Q1,Public sector,"Quarterly change, %",-4.8
2010Q1,Public sector,"Annual change, %",0.2
2010Q1,Manufacturing (C),Value of index,52.9
2010Q1,Manufacturing (C),"Quarterly change, %",-3.8
2010Q1,Manufacturing (C),"Annual change, %",5.2
2010Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,51.7
2010Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-7.4
2010Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",2.4
2010Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,56.7
2010Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-1.7
2010Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",3.1
2010Q1,Construction (F),Value of index,57.2
2010Q1,Construction (F),"Quarterly change, %",-6.1
2010Q1,Construction (F),"Annual change, %",2.1
2010Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,53.1
2010Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-3.8
2010Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",3.9
2010Q1,Transportation and storage (H),Value of index,54.8
2010Q1,Transportation and storage (H),"Quarterly change, %",-4.2
2010Q1,Transportation and storage (H),"Annual change, %",3.4
2010Q1,Accommodation and food service activities (I),Value of index,53.8
2010Q1,Accommodation and food service activities (I),"Quarterly change, %",-4.5
2010Q1,Accommodation and food service activities (I),"Annual change, %",3.5
2010Q1,Information and communication (J),Value of index,54.3
2010Q1,Information and communication (J),"Quarterly change, %",-5.2
2010Q1,Information and communication (J),"Annual change, %",4.4
2010Q1,Financial and insurance activities (K),Value of index,51.3
2010Q1,Financial and insurance activities (K),"Quarterly change, %",-7.1
2010Q1,Financial and insurance activities (K),"Annual change, %",-12
2010Q1,Real estate activities (L),Value of index,53.5
2010Q1,Real estate activities (L),"Quarterly change, %",-22.6
2010Q1,Real estate activities (L),"Annual change, %",-4
2010Q1,"Professional, scientific and technical activities (M)",Value of index,57.9
2010Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",-5.4
2010Q1,"Professional, scientific and technical activities (M)","Annual change, %",1.2
2010Q1,Administrative and support service activities (N),Value of index,54.1
2010Q1,Administrative and support service activities (N),"Quarterly change, %",-3.2
2010Q1,Administrative and support service activities (N),"Annual change, %",4
2010Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,52.4
2010Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-4.9
2010Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",0.4
2010Q2,Total,Value of index,54.2
2010Q2,Total,"Quarterly change, %",1.9
2010Q2,Total,"Annual change, %",2.7
