Ársfjórðungur,Atvinnugreinar/Launþegahópur,Eining,value
2021Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-3.7
2021Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.4
2021Q4,Total,Value of index,113.2
2021Q4,Total,"Quarterly change, %",8.3
2021Q4,Total,"Annual change, %",7.5
2021Q4,Private sector,Value of index,111.9
2021Q4,Private sector,"Quarterly change, %",7.9
2021Q4,Private sector,"Annual change, %",6.3
2021Q4,Public sector,Value of index,113.5
2021Q4,Public sector,"Quarterly change, %",8.5
2021Q4,Public sector,"Annual change, %",7
2021Q4,Manufacturing (C),Value of index,112
2021Q4,Manufacturing (C),"Quarterly change, %",8.8
2021Q4,Manufacturing (C),"Annual change, %",6
2021Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,114.2
2021Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",11.4
2021Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.9
2021Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,114.6
2021Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",8.6
2021Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",7.7
2021Q4,Construction (F),Value of index,112.5
2021Q4,Construction (F),"Quarterly change, %",7.3
2021Q4,Construction (F),"Annual change, %",6.8
2021Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,114.4
2021Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",9
2021Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",8.7
2021Q4,Transportation and storage (H),Value of index,112.2
2021Q4,Transportation and storage (H),"Quarterly change, %",8.6
2021Q4,Transportation and storage (H),"Annual change, %",8
2021Q4,Accommodation and food service activities (I),Value of index,116.4
2021Q4,Accommodation and food service activities (I),"Quarterly change, %",5.6
2021Q4,Accommodation and food service activities (I),"Annual change, %",11.7
2021Q4,Information and communication (J),Value of index,113.4
2021Q4,Information and communication (J),"Quarterly change, %",4.7
2021Q4,Information and communication (J),"Annual change, %",8.8
2021Q4,Financial and insurance activities (K),Value of index,108.2
2021Q4,Financial and insurance activities (K),"Quarterly change, %",6.8
2021Q4,Financial and insurance activities (K),"Annual change, %",6.1
2021Q4,Real estate activities (L),Value of index,113.3
2021Q4,Real estate activities (L),"Quarterly change, %",10.2
2021Q4,Real estate activities (L),"Annual change, %",6.5
2021Q4,"Professional, scientific and technical activities (M)",Value of index,115
2021Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",9.8
2021Q4,"Professional, scientific and technical activities (M)","Annual change, %",9.7
2021Q4,Administrative and support service activities (N),Value of index,113.7
2021Q4,Administrative and support service activities (N),"Quarterly change, %",8.5
2021Q4,Administrative and support service activities (N),"Annual change, %",6.9
2021Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,113.7
2021Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",8.6
2021Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7
2022Q1,Total,Value of index,114.1
2022Q1,Total,"Quarterly change, %",0.8
2022Q1,Total,"Annual change, %",6.8
2022Q1,Private sector,Value of index,112.9
2022Q1,Private sector,"Quarterly change, %",0.9
2022Q1,Private sector,"Annual change, %",4.7
2022Q1,Public sector,Value of index,114.5
2022Q1,Public sector,"Quarterly change, %",0.9
2022Q1,Public sector,"Annual change, %",8
2022Q1,Manufacturing (C),Value of index,113.5
2022Q1,Manufacturing (C),"Quarterly change, %",1.3
2022Q1,Manufacturing (C),"Annual change, %",8.7
2022Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,114.3
2022Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",0.1
2022Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",6.6
2022Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,115.5
2022Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",0.8
2022Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",9
2022Q1,Construction (F),Value of index,111
2022Q1,Construction (F),"Quarterly change, %",-1.3
2022Q1,Construction (F),"Annual change, %",6.1
2022Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,113.4
2022Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-0.9
2022Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",6.6
2022Q1,Transportation and storage (H),Value of index,112.1
2022Q1,Transportation and storage (H),"Quarterly change, %",-0.1
2022Q1,Transportation and storage (H),"Annual change, %",8
2022Q1,Accommodation and food service activities (I),Value of index,116.7
2022Q1,Accommodation and food service activities (I),"Quarterly change, %",0.3
2022Q1,Accommodation and food service activities (I),"Annual change, %",11.5
2022Q1,Information and communication (J),Value of index,115.5
2022Q1,Information and communication (J),"Quarterly change, %",1.9
2022Q1,Information and communication (J),"Annual change, %",-8.4
2022Q1,Financial and insurance activities (K),Value of index,116.3
2022Q1,Financial and insurance activities (K),"Quarterly change, %",7.5
2022Q1,Financial and insurance activities (K),"Annual change, %",11.9
2022Q1,Real estate activities (L),Value of index,116
2022Q1,Real estate activities (L),"Quarterly change, %",2.4
2022Q1,Real estate activities (L),"Annual change, %",9.1
2022Q1,"Professional, scientific and technical activities (M)",Value of index,115.4
2022Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",0.3
2022Q1,"Professional, scientific and technical activities (M)","Annual change, %",7.1
2022Q1,Administrative and support service activities (N),Value of index,115.2
2022Q1,Administrative and support service activities (N),"Quarterly change, %",1.3
2022Q1,Administrative and support service activities (N),"Annual change, %",8.7
2022Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,114.3
2022Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",0.5
2022Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.4
2022Q2,Total,Value of index,116.5
2022Q2,Total,"Quarterly change, %",2.1
2022Q2,Total,"Annual change, %",7.5
2022Q2,Private sector,Value of index,114.3
2022Q2,Private sector,"Quarterly change, %",1.2
2022Q2,Private sector,"Annual change, %",5.7
2022Q2,Public sector,Value of index,117.5
2022Q2,Public sector,"Quarterly change, %",2.6
2022Q2,Public sector,"Annual change, %",8.3
2022Q2,Manufacturing (C),Value of index,116.6
2022Q2,Manufacturing (C),"Quarterly change, %",2.7
2022Q2,Manufacturing (C),"Annual change, %",6.4
2022Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,115.6
2022Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",1.1
2022Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.8
2022Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,117.7
2022Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",1.9
2022Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",8.7
2022Q2,Construction (F),Value of index,115.6
2022Q2,Construction (F),"Quarterly change, %",4.1
2022Q2,Construction (F),"Annual change, %",6.7
2022Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,116.6
2022Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",2.8
2022Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",7.2
2022Q2,Transportation and storage (H),Value of index,114.2
2022Q2,Transportation and storage (H),"Quarterly change, %",1.9
2022Q2,Transportation and storage (H),"Annual change, %",6.3
2022Q2,Accommodation and food service activities (I),Value of index,120.9
2022Q2,Accommodation and food service activities (I),"Quarterly change, %",3.6
2022Q2,Accommodation and food service activities (I),"Annual change, %",9.8
2022Q2,Information and communication (J),Value of index,115.3
2022Q2,Information and communication (J),"Quarterly change, %",-0.2
2022Q2,Information and communication (J),"Annual change, %",6.5
2022Q2,Financial and insurance activities (K),Value of index,111.9
2022Q2,Financial and insurance activities (K),"Quarterly change, %",-3.8
2022Q2,Financial and insurance activities (K),"Annual change, %",7.9
2022Q2,Real estate activities (L),Value of index,114.7
2022Q2,Real estate activities (L),"Quarterly change, %",-1.1
2022Q2,Real estate activities (L),"Annual change, %",6.5
2022Q2,"Professional, scientific and technical activities (M)",Value of index,116.4
2022Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",0.9
2022Q2,"Professional, scientific and technical activities (M)","Annual change, %",7.3
2022Q2,Administrative and support service activities (N),Value of index,118
2022Q2,Administrative and support service activities (N),"Quarterly change, %",2.4
2022Q2,Administrative and support service activities (N),"Annual change, %",10
2022Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,117.3
2022Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",2.6
2022Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.9
2022Q3,Total,Value of index,113
2022Q3,Total,"Quarterly change, %",-3
2022Q3,Total,"Annual change, %",8.1
2022Q3,Private sector,Value of index,110.6
2022Q3,Private sector,"Quarterly change, %",-3.2
2022Q3,Private sector,"Annual change, %",6.7
2022Q3,Public sector,Value of index,114.3
2022Q3,Public sector,"Quarterly change, %",-2.7
2022Q3,Public sector,"Annual change, %",9.3
2022Q3,Manufacturing (C),Value of index,112.1
2022Q3,Manufacturing (C),"Quarterly change, %",-3.9
2022Q3,Manufacturing (C),"Annual change, %",8.9
2022Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,109.8
2022Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-5
2022Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.1
2022Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,114.8
2022Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-2.5
2022Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",8.8
2022Q3,Construction (F),Value of index,112.6
2022Q3,Construction (F),"Quarterly change, %",-2.6
2022Q3,Construction (F),"Annual change, %",7.4
2022Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,112.9
2022Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-3.2
2022Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",7.5
2022Q3,Transportation and storage (H),Value of index,109.7
2022Q3,Transportation and storage (H),"Quarterly change, %",-4
2022Q3,Transportation and storage (H),"Annual change, %",6.2
2022Q3,Accommodation and food service activities (I),Value of index,118.4
2022Q3,Accommodation and food service activities (I),"Quarterly change, %",-2.1
2022Q3,Accommodation and food service activities (I),"Annual change, %",7.4
2022Q3,Information and communication (J),Value of index,113.7
2022Q3,Information and communication (J),"Quarterly change, %",-1.4
2022Q3,Information and communication (J),"Annual change, %",5
2022Q3,Financial and insurance activities (K),Value of index,109.5
2022Q3,Financial and insurance activities (K),"Quarterly change, %",-2.2
2022Q3,Financial and insurance activities (K),"Annual change, %",8.1
2022Q3,Real estate activities (L),Value of index,110.4
2022Q3,Real estate activities (L),"Quarterly change, %",-3.8
2022Q3,Real estate activities (L),"Annual change, %",7.4
2022Q3,"Professional, scientific and technical activities (M)",Value of index,112.9
2022Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-3
2022Q3,"Professional, scientific and technical activities (M)","Annual change, %",7.8
2022Q3,Administrative and support service activities (N),Value of index,114.9
2022Q3,Administrative and support service activities (N),"Quarterly change, %",-2.6
2022Q3,Administrative and support service activities (N),"Annual change, %",9.6
2022Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,113.9
2022Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.9
2022Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",8.8
2022Q4,Total,Value of index,122.3
2022Q4,Total,"Quarterly change, %",8.2
2022Q4,Total,"Annual change, %",8
2022Q4,Private sector,Value of index,120.2
2022Q4,Private sector,"Quarterly change, %",8.7
2022Q4,Private sector,"Annual change, %",7.4
2022Q4,Public sector,Value of index,122.7
2022Q4,Public sector,"Quarterly change, %",7.3
2022Q4,Public sector,"Annual change, %",8.1
2022Q4,Manufacturing (C),Value of index,121.7
2022Q4,Manufacturing (C),"Quarterly change, %",8.6
2022Q4,Manufacturing (C),"Annual change, %",8.7
2022Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,122.3
2022Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",11.4
2022Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",7.1
2022Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,124.4
2022Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",8.4
2022Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",8.6
2022Q4,Construction (F),Value of index,122.4
2022Q4,Construction (F),"Quarterly change, %",8.7
2022Q4,Construction (F),"Annual change, %",8.8
2022Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,123.7
2022Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",9.6
2022Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",8.1
2022Q4,Transportation and storage (H),Value of index,120.2
2022Q4,Transportation and storage (H),"Quarterly change, %",9.6
2022Q4,Transportation and storage (H),"Annual change, %",7.1
2022Q4,Accommodation and food service activities (I),Value of index,125.9
2022Q4,Accommodation and food service activities (I),"Quarterly change, %",6.3
2022Q4,Accommodation and food service activities (I),"Annual change, %",8.2
2022Q4,Information and communication (J),Value of index,122.7
2022Q4,Information and communication (J),"Quarterly change, %",7.9
2022Q4,Information and communication (J),"Annual change, %",8.2
2022Q4,Financial and insurance activities (K),Value of index,115.9
2022Q4,Financial and insurance activities (K),"Quarterly change, %",5.8
2022Q4,Financial and insurance activities (K),"Annual change, %",7.1
2022Q4,Real estate activities (L),Value of index,123.6
2022Q4,Real estate activities (L),"Quarterly change, %",12
2022Q4,Real estate activities (L),"Annual change, %",9.1
2022Q4,"Professional, scientific and technical activities (M)",Value of index,123.9
2022Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",9.7
2022Q4,"Professional, scientific and technical activities (M)","Annual change, %",7.7
2022Q4,Administrative and support service activities (N),Value of index,123.9
2022Q4,Administrative and support service activities (N),"Quarterly change, %",7.8
2022Q4,Administrative and support service activities (N),"Annual change, %",9
2022Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,122.7
2022Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",7.7
2022Q4,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",7.9
2023Q1,Total,Value of index,123.2
2023Q1,Total,"Quarterly change, %",0.7
2023Q1,Total,"Annual change, %",8
2023Q1,Private sector,Value of index,122.4
2023Q1,Private sector,"Quarterly change, %",1.8
2023Q1,Private sector,"Annual change, %",8.4
2023Q1,Public sector,Value of index,121.4
2023Q1,Public sector,"Quarterly change, %",-1.1
2023Q1,Public sector,"Annual change, %",6
2023Q1,Manufacturing (C),Value of index,124.2
2023Q1,Manufacturing (C),"Quarterly change, %",2.1
2023Q1,Manufacturing (C),"Annual change, %",9.4
2023Q1,"Electricity, gas, steam and air conditioning supply (D)",Value of index,125.6
2023Q1,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",2.7
2023Q1,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",9.9
2023Q1,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,127.6
2023Q1,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",2.6
2023Q1,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",10.5
2023Q1,Construction (F),Value of index,123
2023Q1,Construction (F),"Quarterly change, %",0.5
2023Q1,Construction (F),"Annual change, %",10.8
2023Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,123.3
2023Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-0.3
2023Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",8.7
2023Q1,Transportation and storage (H),Value of index,121.8
2023Q1,Transportation and storage (H),"Quarterly change, %",1.3
2023Q1,Transportation and storage (H),"Annual change, %",8.7
2023Q1,Accommodation and food service activities (I),Value of index,127.8
2023Q1,Accommodation and food service activities (I),"Quarterly change, %",1.5
2023Q1,Accommodation and food service activities (I),"Annual change, %",9.5
2023Q1,Information and communication (J),Value of index,124.6
2023Q1,Information and communication (J),"Quarterly change, %",1.5
2023Q1,Information and communication (J),"Annual change, %",7.9
2023Q1,Financial and insurance activities (K),Value of index,127.5
2023Q1,Financial and insurance activities (K),"Quarterly change, %",10
2023Q1,Financial and insurance activities (K),"Annual change, %",9.6
2023Q1,Real estate activities (L),Value of index,124.7
2023Q1,Real estate activities (L),"Quarterly change, %",0.9
2023Q1,Real estate activities (L),"Annual change, %",7.5
2023Q1,"Professional, scientific and technical activities (M)",Value of index,125.2
2023Q1,"Professional, scientific and technical activities (M)","Quarterly change, %",1
2023Q1,"Professional, scientific and technical activities (M)","Annual change, %",8.5
2023Q1,Administrative and support service activities (N),Value of index,126.3
2023Q1,Administrative and support service activities (N),"Quarterly change, %",1.9
2023Q1,Administrative and support service activities (N),"Annual change, %",9.6
2023Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,121.4
2023Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-1.1
2023Q1,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",6.2
2023Q2,Total,Value of index,126.4
2023Q2,Total,"Quarterly change, %",2.6
2023Q2,Total,"Annual change, %",8.5
2023Q2,Private sector,Value of index,123.5
2023Q2,Private sector,"Quarterly change, %",0.9
2023Q2,Private sector,"Annual change, %",8
2023Q2,Public sector,Value of index,127.7
2023Q2,Public sector,"Quarterly change, %",5.2
2023Q2,Public sector,"Annual change, %",8.7
2023Q2,Manufacturing (C),Value of index,126.8
2023Q2,Manufacturing (C),"Quarterly change, %",2.1
2023Q2,Manufacturing (C),"Annual change, %",8.7
2023Q2,"Electricity, gas, steam and air conditioning supply (D)",Value of index,127.5
2023Q2,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",1.5
2023Q2,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",10.3
2023Q2,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,128.6
2023Q2,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",0.8
2023Q2,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",9.3
2023Q2,Construction (F),Value of index,126.2
2023Q2,Construction (F),"Quarterly change, %",2.6
2023Q2,Construction (F),"Annual change, %",9.2
2023Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,125.2
2023Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",1.5
2023Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",7.4
2023Q2,Transportation and storage (H),Value of index,125.2
2023Q2,Transportation and storage (H),"Quarterly change, %",2.8
2023Q2,Transportation and storage (H),"Annual change, %",9.6
2023Q2,Accommodation and food service activities (I),Value of index,131.1
2023Q2,Accommodation and food service activities (I),"Quarterly change, %",2.6
2023Q2,Accommodation and food service activities (I),"Annual change, %",8.4
2023Q2,Information and communication (J),Value of index,123.9
2023Q2,Information and communication (J),"Quarterly change, %",-0.6
2023Q2,Information and communication (J),"Annual change, %",7.5
2023Q2,Financial and insurance activities (K),Value of index,120.6
2023Q2,Financial and insurance activities (K),"Quarterly change, %",-5.4
2023Q2,Financial and insurance activities (K),"Annual change, %",7.8
2023Q2,Real estate activities (L),Value of index,120.2
2023Q2,Real estate activities (L),"Quarterly change, %",-3.6
2023Q2,Real estate activities (L),"Annual change, %",4.8
2023Q2,"Professional, scientific and technical activities (M)",Value of index,126.3
2023Q2,"Professional, scientific and technical activities (M)","Quarterly change, %",0.9
2023Q2,"Professional, scientific and technical activities (M)","Annual change, %",8.5
2023Q2,Administrative and support service activities (N),Value of index,127.8
2023Q2,Administrative and support service activities (N),"Quarterly change, %",1.2
2023Q2,Administrative and support service activities (N),"Annual change, %",8.3
2023Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,127.3
2023Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",4.9
2023Q2,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",8.5
2023Q3,Total,Value of index,122.8
2023Q3,Total,"Quarterly change, %",-2.9
2023Q3,Total,"Annual change, %",8.7
2023Q3,Private sector,Value of index,119.9
2023Q3,Private sector,"Quarterly change, %",-2.9
2023Q3,Private sector,"Annual change, %",8.4
2023Q3,Public sector,Value of index,124.3
2023Q3,Public sector,"Quarterly change, %",-2.7
2023Q3,Public sector,"Annual change, %",8.7
2023Q3,Manufacturing (C),Value of index,122.1
2023Q3,Manufacturing (C),"Quarterly change, %",-3.7
2023Q3,Manufacturing (C),"Annual change, %",8.9
2023Q3,"Electricity, gas, steam and air conditioning supply (D)",Value of index,119.6
2023Q3,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",-6.2
2023Q3,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",8.9
2023Q3,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,124.9
2023Q3,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",-2.9
2023Q3,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",8.8
2023Q3,Construction (F),Value of index,123.7
2023Q3,Construction (F),"Quarterly change, %",-2
2023Q3,Construction (F),"Annual change, %",9.9
2023Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,121.7
2023Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",-2.8
2023Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",7.8
2023Q3,Transportation and storage (H),Value of index,120.8
2023Q3,Transportation and storage (H),"Quarterly change, %",-3.5
2023Q3,Transportation and storage (H),"Annual change, %",10.1
2023Q3,Accommodation and food service activities (I),Value of index,128.6
2023Q3,Accommodation and food service activities (I),"Quarterly change, %",-1.9
2023Q3,Accommodation and food service activities (I),"Annual change, %",8.6
2023Q3,Information and communication (J),Value of index,122
2023Q3,Information and communication (J),"Quarterly change, %",-1.5
2023Q3,Information and communication (J),"Annual change, %",7.3
2023Q3,Financial and insurance activities (K),Value of index,118.2
2023Q3,Financial and insurance activities (K),"Quarterly change, %",-2
2023Q3,Financial and insurance activities (K),"Annual change, %",7.9
2023Q3,Real estate activities (L),Value of index,118.1
2023Q3,Real estate activities (L),"Quarterly change, %",-1.8
2023Q3,Real estate activities (L),"Annual change, %",7
2023Q3,"Professional, scientific and technical activities (M)",Value of index,122.8
2023Q3,"Professional, scientific and technical activities (M)","Quarterly change, %",-2.8
2023Q3,"Professional, scientific and technical activities (M)","Annual change, %",8.8
2023Q3,Administrative and support service activities (N),Value of index,125
2023Q3,Administrative and support service activities (N),"Quarterly change, %",-2.2
2023Q3,Administrative and support service activities (N),"Annual change, %",8.8
2023Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)",Value of index,123.8
2023Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Quarterly change, %",-2.8
2023Q3,"Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities (O, P, Q, R, S)","Annual change, %",8.7
2023Q4,Total,Value of index,132.4
2023Q4,Total,"Quarterly change, %",7.8
2023Q4,Total,"Annual change, %",8.3
2023Q4,Private sector,Value of index,129.8
2023Q4,Private sector,"Quarterly change, %",8.3
2023Q4,Private sector,"Annual change, %",8
2023Q4,Public sector,Value of index,133.2
2023Q4,Public sector,"Quarterly change, %",7.2
2023Q4,Public sector,"Annual change, %",8.6
2023Q4,Manufacturing (C),Value of index,133.8
2023Q4,Manufacturing (C),"Quarterly change, %",9.6
2023Q4,Manufacturing (C),"Annual change, %",9.9
2023Q4,"Electricity, gas, steam and air conditioning supply (D)",Value of index,133
2023Q4,"Electricity, gas, steam and air conditioning supply (D)","Quarterly change, %",11.2
2023Q4,"Electricity, gas, steam and air conditioning supply (D)","Annual change, %",8.7
2023Q4,"Water supply; sewerage, waste management and remediation activities (E)",Value of index,134
2023Q4,"Water supply; sewerage, waste management and remediation activities (E)","Quarterly change, %",7.3
2023Q4,"Water supply; sewerage, waste management and remediation activities (E)","Annual change, %",7.7
2023Q4,Construction (F),Value of index,133
2023Q4,Construction (F),"Quarterly change, %",7.5
2023Q4,Construction (F),"Annual change, %",8.7
2023Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Value of index,132.5
2023Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Quarterly change, %",8.9
2023Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),"Annual change, %",7.1
2023Q4,Transportation and storage (H),Value of index,130.8
2023Q4,Transportation and storage (H),"Quarterly change, %",8.3
2023Q4,Transportation and storage (H),"Annual change, %",8.8
2023Q4,Accommodation and food service activities (I),Value of index,136.5
2023Q4,Accommodation and food service activities (I),"Quarterly change, %",6.1
2023Q4,Accommodation and food service activities (I),"Annual change, %",8.4
2023Q4,Information and communication (J),Value of index,129.8
2023Q4,Information and communication (J),"Quarterly change, %",6.4
2023Q4,Information and communication (J),"Annual change, %",5.8
2023Q4,Financial and insurance activities (K),Value of index,124.9
2023Q4,Financial and insurance activities (K),"Quarterly change, %",5.7
2023Q4,Financial and insurance activities (K),"Annual change, %",7.8
2023Q4,Real estate activities (L),Value of index,131.6
2023Q4,Real estate activities (L),"Quarterly change, %",11.4
2023Q4,Real estate activities (L),"Annual change, %",6.5
2023Q4,"Professional, scientific and technical activities (M)",Value of index,133.3
2023Q4,"Professional, scientific and technical activities (M)","Quarterly change, %",8.6
2023Q4,"Professional, scientific and technical activities (M)","Annual change, %",7.6
2023Q4,Administrative and support service activities (N),Value of index,133.9
2023Q4,Administrative and support service activities (N),"Quarterly change, %",7.1
2023Q4,Administrative and support service activities (N),"Annual change, %",8.1
