Atvinnugrein (ÍSAT2008),vsk-þrep,Ár,Tímabil,value
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2020,Jan.-Feb.,6563.8
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2020,March-April,7292.3
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2020,May-June,7197.1
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2020,July-August,5755.9
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2020,Sept.-Oct.,7761.8
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2020,Nov.-Dec.,8432
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2021,Jan.-Feb.,6971.2
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2021,March-April,8073.6
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2021,May-June,8394.6
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2021,July-August,6795.1
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2021,Sept.-Oct.,8742.9
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2021,Nov.-Dec.,9780.5
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2022,Jan.-Feb.,8518.8
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2022,March-April,9240
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2022,May-June,10536.6
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2022,July-August,8843.8
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2022,Sept.-Oct.,10578.3
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2022,Nov.-Dec.,11342.1
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2023,Jan.-Feb.,9803.6
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2023,March-April,10157
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2023,May-June,11295.5
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2023,July-August,9208.3
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2023,Sept.-Oct.,11382.3
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2023,Nov.-Dec.,12078.3
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2024,Jan.-Feb.,10719.1
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2024,March-April,11384.4
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2024,May-June,12068.9
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2024,July-August,10246.2
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2024,Sept.-Oct.,12613.4
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2024,Nov.-Dec.,12312.9
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2025,Jan.-Feb.,11596.7
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2025,March-April,12342.4
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2025,May-June,12032.3
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2025,July-August,11199.1
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2025,Sept.-Oct.,13609.9
71 Architectural and engineering activities; technical testing and analysis,Standard VAT-rate,2025,Nov.-Dec.,13642.4
72 Scientific research and development,Total,2008,Jan.-Feb.,527.4
72 Scientific research and development,Total,2008,March-April,852.5
72 Scientific research and development,Total,2008,May-June,799.3
72 Scientific research and development,Total,2008,July-August,913.1
72 Scientific research and development,Total,2008,Sept.-Oct.,820.9
72 Scientific research and development,Total,2008,Nov.-Dec.,1908.5
72 Scientific research and development,Total,2009,Jan.-Feb.,672.5
72 Scientific research and development,Total,2009,March-April,702.6
72 Scientific research and development,Total,2009,May-June,1330.4
72 Scientific research and development,Total,2009,July-August,804.3
72 Scientific research and development,Total,2009,Sept.-Oct.,693
72 Scientific research and development,Total,2009,Nov.-Dec.,1673
72 Scientific research and development,Total,2010,Jan.-Feb.,965.2
72 Scientific research and development,Total,2010,March-April,982.6
72 Scientific research and development,Total,2010,May-June,1521.3
72 Scientific research and development,Total,2010,July-August,1042.3
72 Scientific research and development,Total,2010,Sept.-Oct.,1066.5
72 Scientific research and development,Total,2010,Nov.-Dec.,2094
72 Scientific research and development,Total,2011,Jan.-Feb.,750.3
72 Scientific research and development,Total,2011,March-April,561.9
72 Scientific research and development,Total,2011,May-June,1809.5
72 Scientific research and development,Total,2011,July-August,848.5
72 Scientific research and development,Total,2011,Sept.-Oct.,1033.9
72 Scientific research and development,Total,2011,Nov.-Dec.,1892.6
72 Scientific research and development,Total,2012,Jan.-Feb.,824.3
72 Scientific research and development,Total,2012,March-April,1420.6
72 Scientific research and development,Total,2012,May-June,1220.4
72 Scientific research and development,Total,2012,July-August,539.2
72 Scientific research and development,Total,2012,Sept.-Oct.,1037
72 Scientific research and development,Total,2012,Nov.-Dec.,2276.2
72 Scientific research and development,Total,2013,Jan.-Feb.,1057.3
72 Scientific research and development,Total,2013,March-April,1527.8
72 Scientific research and development,Total,2013,May-June,1968.3
72 Scientific research and development,Total,2013,July-August,1079.7
72 Scientific research and development,Total,2013,Sept.-Oct.,1500.1
72 Scientific research and development,Total,2013,Nov.-Dec.,3673.7
72 Scientific research and development,Total,2014,Jan.-Feb.,1724.2
72 Scientific research and development,Total,2014,March-April,1917.6
72 Scientific research and development,Total,2014,May-June,2409.6
72 Scientific research and development,Total,2014,July-August,1664
72 Scientific research and development,Total,2014,Sept.-Oct.,2363.3
72 Scientific research and development,Total,2014,Nov.-Dec.,4057.7
72 Scientific research and development,Total,2015,Jan.-Feb.,2429.5
72 Scientific research and development,Total,2015,March-April,947.4
72 Scientific research and development,Total,2015,May-June,3056.3
72 Scientific research and development,Total,2015,July-August,2494
72 Scientific research and development,Total,2015,Sept.-Oct.,4904.3
72 Scientific research and development,Total,2015,Nov.-Dec.,2666.1
72 Scientific research and development,Total,2016,Jan.-Feb.,2434.1
72 Scientific research and development,Total,2016,March-April,2633.9
72 Scientific research and development,Total,2016,May-June,2057.9
72 Scientific research and development,Total,2016,July-August,2490.4
72 Scientific research and development,Total,2016,Sept.-Oct.,4899.7
72 Scientific research and development,Total,2016,Nov.-Dec.,2023.7
72 Scientific research and development,Total,2017,Jan.-Feb.,2505.7
72 Scientific research and development,Total,2017,March-April,2771.9
72 Scientific research and development,Total,2017,May-June,1933.8
72 Scientific research and development,Total,2017,July-August,2112.8
72 Scientific research and development,Total,2017,Sept.-Oct.,3226.6
72 Scientific research and development,Total,2017,Nov.-Dec.,5932.1
72 Scientific research and development,Total,2018,Jan.-Feb.,2737.7
72 Scientific research and development,Total,2018,March-April,3015.1
72 Scientific research and development,Total,2018,May-June,1818.8
72 Scientific research and development,Total,2018,July-August,3202.7
72 Scientific research and development,Total,2018,Sept.-Oct.,5564.4
72 Scientific research and development,Total,2018,Nov.-Dec.,4074.3
72 Scientific research and development,Total,2019,Jan.-Feb.,3325.5
72 Scientific research and development,Total,2019,March-April,3657.5
72 Scientific research and development,Total,2019,May-June,1848.3
72 Scientific research and development,Total,2019,July-August,4363.2
72 Scientific research and development,Total,2019,Sept.-Oct.,4401.7
72 Scientific research and development,Total,2019,Nov.-Dec.,6500.5
72 Scientific research and development,Total,2020,Jan.-Feb.,5766.4
72 Scientific research and development,Total,2020,March-April,5756.1
72 Scientific research and development,Total,2020,May-June,2173.3
72 Scientific research and development,Total,2020,July-August,5382.8
72 Scientific research and development,Total,2020,Sept.-Oct.,7391.1
72 Scientific research and development,Total,2020,Nov.-Dec.,4897.6
72 Scientific research and development,Total,2021,Jan.-Feb.,4709.1
72 Scientific research and development,Total,2021,March-April,4733.1
72 Scientific research and development,Total,2021,May-June,2938.5
72 Scientific research and development,Total,2021,July-August,5371.2
72 Scientific research and development,Total,2021,Sept.-Oct.,4998.8
72 Scientific research and development,Total,2021,Nov.-Dec.,4204.7
72 Scientific research and development,Total,2022,Jan.-Feb.,4238.4
72 Scientific research and development,Total,2022,March-April,4076.6
72 Scientific research and development,Total,2022,May-June,2204.3
72 Scientific research and development,Total,2022,July-August,4190.1
72 Scientific research and development,Total,2022,Sept.-Oct.,5974.8
72 Scientific research and development,Total,2022,Nov.-Dec.,3785.6
72 Scientific research and development,Total,2023,Jan.-Feb.,3511.5
72 Scientific research and development,Total,2023,March-April,4750.7
72 Scientific research and development,Total,2023,May-June,2969.9
72 Scientific research and development,Total,2023,July-August,4656
72 Scientific research and development,Total,2023,Sept.-Oct.,6067.3
72 Scientific research and development,Total,2023,Nov.-Dec.,3159.2
72 Scientific research and development,Total,2024,Jan.-Feb.,3562.4
72 Scientific research and development,Total,2024,March-April,5649.2
72 Scientific research and development,Total,2024,May-June,2437.5
72 Scientific research and development,Total,2024,July-August,4077
72 Scientific research and development,Total,2024,Sept.-Oct.,5325.6
72 Scientific research and development,Total,2024,Nov.-Dec.,3697.4
72 Scientific research and development,Total,2025,Jan.-Feb.,3972.1
72 Scientific research and development,Total,2025,March-April,4593.3
72 Scientific research and development,Total,2025,May-June,2785.1
72 Scientific research and development,Total,2025,July-August,4090.6
72 Scientific research and development,Total,2025,Sept.-Oct.,5339.2
72 Scientific research and development,Total,2025,Nov.-Dec.,6575.4
72 Scientific research and development,Zero VAT-rate,2008,Jan.-Feb.,424.7
72 Scientific research and development,Zero VAT-rate,2008,March-April,472.7
72 Scientific research and development,Zero VAT-rate,2008,May-June,535.8
72 Scientific research and development,Zero VAT-rate,2008,July-August,719.6
72 Scientific research and development,Zero VAT-rate,2008,Sept.-Oct.,515.2
72 Scientific research and development,Zero VAT-rate,2008,Nov.-Dec.,1534
72 Scientific research and development,Zero VAT-rate,2009,Jan.-Feb.,484.1
72 Scientific research and development,Zero VAT-rate,2009,March-April,402.2
72 Scientific research and development,Zero VAT-rate,2009,May-June,727.2
72 Scientific research and development,Zero VAT-rate,2009,July-August,530.5
72 Scientific research and development,Zero VAT-rate,2009,Sept.-Oct.,388.2
72 Scientific research and development,Zero VAT-rate,2009,Nov.-Dec.,637.6
72 Scientific research and development,Zero VAT-rate,2010,Jan.-Feb.,737.6
72 Scientific research and development,Zero VAT-rate,2010,March-April,723.1
72 Scientific research and development,Zero VAT-rate,2010,May-June,861.8
72 Scientific research and development,Zero VAT-rate,2010,July-August,714.1
72 Scientific research and development,Zero VAT-rate,2010,Sept.-Oct.,729.9
72 Scientific research and development,Zero VAT-rate,2010,Nov.-Dec.,1054.4
72 Scientific research and development,Zero VAT-rate,2011,Jan.-Feb.,547.9
72 Scientific research and development,Zero VAT-rate,2011,March-April,316.7
72 Scientific research and development,Zero VAT-rate,2011,May-June,1117.9
72 Scientific research and development,Zero VAT-rate,2011,July-August,583
72 Scientific research and development,Zero VAT-rate,2011,Sept.-Oct.,711.3
72 Scientific research and development,Zero VAT-rate,2011,Nov.-Dec.,661.2
72 Scientific research and development,Zero VAT-rate,2012,Jan.-Feb.,557.1
72 Scientific research and development,Zero VAT-rate,2012,March-April,1111.9
72 Scientific research and development,Zero VAT-rate,2012,May-June,480.7
72 Scientific research and development,Zero VAT-rate,2012,July-August,263.7
72 Scientific research and development,Zero VAT-rate,2012,Sept.-Oct.,708.9
72 Scientific research and development,Zero VAT-rate,2012,Nov.-Dec.,940.1
72 Scientific research and development,Zero VAT-rate,2013,Jan.-Feb.,771.9
72 Scientific research and development,Zero VAT-rate,2013,March-April,1247.3
72 Scientific research and development,Zero VAT-rate,2013,May-June,1021.8
72 Scientific research and development,Zero VAT-rate,2013,July-August,767.7
72 Scientific research and development,Zero VAT-rate,2013,Sept.-Oct.,963.8
72 Scientific research and development,Zero VAT-rate,2013,Nov.-Dec.,2583.7
72 Scientific research and development,Zero VAT-rate,2014,Jan.-Feb.,1201.3
72 Scientific research and development,Zero VAT-rate,2014,March-April,1601.8
72 Scientific research and development,Zero VAT-rate,2014,May-June,1397.7
72 Scientific research and development,Zero VAT-rate,2014,July-August,1171.1
72 Scientific research and development,Zero VAT-rate,2014,Sept.-Oct.,1974.6
72 Scientific research and development,Zero VAT-rate,2014,Nov.-Dec.,2850.5
72 Scientific research and development,Zero VAT-rate,2015,Jan.-Feb.,2096.3
72 Scientific research and development,Zero VAT-rate,2015,March-April,607.4
72 Scientific research and development,Zero VAT-rate,2015,May-June,2085.5
72 Scientific research and development,Zero VAT-rate,2015,July-August,1994.9
72 Scientific research and development,Zero VAT-rate,2015,Sept.-Oct.,4433.2
72 Scientific research and development,Zero VAT-rate,2015,Nov.-Dec.,1158.7
72 Scientific research and development,Zero VAT-rate,2016,Jan.-Feb.,2041.1
72 Scientific research and development,Zero VAT-rate,2016,March-April,2155.6
72 Scientific research and development,Zero VAT-rate,2016,May-June,1044.1
72 Scientific research and development,Zero VAT-rate,2016,July-August,2088.9
72 Scientific research and development,Zero VAT-rate,2016,Sept.-Oct.,4471.2
72 Scientific research and development,Zero VAT-rate,2016,Nov.-Dec.,694.3
72 Scientific research and development,Zero VAT-rate,2017,Jan.-Feb.,2086.4
72 Scientific research and development,Zero VAT-rate,2017,March-April,2314.1
72 Scientific research and development,Zero VAT-rate,2017,May-June,910.2
72 Scientific research and development,Zero VAT-rate,2017,July-August,1699.5
72 Scientific research and development,Zero VAT-rate,2017,Sept.-Oct.,2665.7
72 Scientific research and development,Zero VAT-rate,2017,Nov.-Dec.,4206.8
72 Scientific research and development,Zero VAT-rate,2018,Jan.-Feb.,2266.1
72 Scientific research and development,Zero VAT-rate,2018,March-April,2498
72 Scientific research and development,Zero VAT-rate,2018,May-June,671
72 Scientific research and development,Zero VAT-rate,2018,July-August,2646.5
72 Scientific research and development,Zero VAT-rate,2018,Sept.-Oct.,4962.6
72 Scientific research and development,Zero VAT-rate,2018,Nov.-Dec.,2564.2
72 Scientific research and development,Zero VAT-rate,2019,Jan.-Feb.,2875.4
72 Scientific research and development,Zero VAT-rate,2019,March-April,3125.4
72 Scientific research and development,Zero VAT-rate,2019,May-June,760.4
72 Scientific research and development,Zero VAT-rate,2019,July-August,3804.3
72 Scientific research and development,Zero VAT-rate,2019,Sept.-Oct.,3788
72 Scientific research and development,Zero VAT-rate,2019,Nov.-Dec.,4953
72 Scientific research and development,Zero VAT-rate,2020,Jan.-Feb.,5032.1
72 Scientific research and development,Zero VAT-rate,2020,March-April,5170
72 Scientific research and development,Zero VAT-rate,2020,May-June,1535.4
72 Scientific research and development,Zero VAT-rate,2020,July-August,4740.9
72 Scientific research and development,Zero VAT-rate,2020,Sept.-Oct.,6695.1
72 Scientific research and development,Zero VAT-rate,2020,Nov.-Dec.,3831
72 Scientific research and development,Zero VAT-rate,2021,Jan.-Feb.,3840.2
72 Scientific research and development,Zero VAT-rate,2021,March-April,4128.2
72 Scientific research and development,Zero VAT-rate,2021,May-June,1711.7
72 Scientific research and development,Zero VAT-rate,2021,July-August,4837.6
72 Scientific research and development,Zero VAT-rate,2021,Sept.-Oct.,3982.6
72 Scientific research and development,Zero VAT-rate,2021,Nov.-Dec.,3118.8
72 Scientific research and development,Zero VAT-rate,2022,Jan.-Feb.,3170.7
72 Scientific research and development,Zero VAT-rate,2022,March-April,3492.9
72 Scientific research and development,Zero VAT-rate,2022,May-June,1148
72 Scientific research and development,Zero VAT-rate,2022,July-August,3669.7
72 Scientific research and development,Zero VAT-rate,2022,Sept.-Oct.,4952.9
72 Scientific research and development,Zero VAT-rate,2022,Nov.-Dec.,2665.2
72 Scientific research and development,Zero VAT-rate,2023,Jan.-Feb.,2855.6
72 Scientific research and development,Zero VAT-rate,2023,March-April,4018.1
72 Scientific research and development,Zero VAT-rate,2023,May-June,2048.2
72 Scientific research and development,Zero VAT-rate,2023,July-August,3999.4
72 Scientific research and development,Zero VAT-rate,2023,Sept.-Oct.,4771.2
72 Scientific research and development,Zero VAT-rate,2023,Nov.-Dec.,1997.7
72 Scientific research and development,Zero VAT-rate,2024,Jan.-Feb.,2993.4
72 Scientific research and development,Zero VAT-rate,2024,March-April,4709.6
72 Scientific research and development,Zero VAT-rate,2024,May-June,1502.1
72 Scientific research and development,Zero VAT-rate,2024,July-August,3217.7
72 Scientific research and development,Zero VAT-rate,2024,Sept.-Oct.,4157.7
72 Scientific research and development,Zero VAT-rate,2024,Nov.-Dec.,2431.1
72 Scientific research and development,Zero VAT-rate,2025,Jan.-Feb.,3362.7
72 Scientific research and development,Zero VAT-rate,2025,March-April,3743.6
72 Scientific research and development,Zero VAT-rate,2025,May-June,1903.4
72 Scientific research and development,Zero VAT-rate,2025,July-August,3364.9
72 Scientific research and development,Zero VAT-rate,2025,Sept.-Oct.,4477.9
72 Scientific research and development,Zero VAT-rate,2025,Nov.-Dec.,3340.9
72 Scientific research and development,Lower VAT-rate,2008,Jan.-Feb.,0.3
72 Scientific research and development,Lower VAT-rate,2008,March-April,0.4
72 Scientific research and development,Lower VAT-rate,2008,May-June,0.2
72 Scientific research and development,Lower VAT-rate,2008,July-August,0.7
72 Scientific research and development,Lower VAT-rate,2008,Sept.-Oct.,0.4
72 Scientific research and development,Lower VAT-rate,2008,Nov.-Dec.,1.8
72 Scientific research and development,Lower VAT-rate,2009,Jan.-Feb.,0.4
72 Scientific research and development,Lower VAT-rate,2009,March-April,0.4
72 Scientific research and development,Lower VAT-rate,2009,May-June,0.7
72 Scientific research and development,Lower VAT-rate,2009,July-August,3.8
72 Scientific research and development,Lower VAT-rate,2009,Sept.-Oct.,3.9
72 Scientific research and development,Lower VAT-rate,2009,Nov.-Dec.,4.9
72 Scientific research and development,Lower VAT-rate,2010,Jan.-Feb.,2.6
72 Scientific research and development,Lower VAT-rate,2010,March-April,2.3
72 Scientific research and development,Lower VAT-rate,2010,May-June,3.8
72 Scientific research and development,Lower VAT-rate,2010,July-August,3.8
72 Scientific research and development,Lower VAT-rate,2010,Sept.-Oct.,2.3
72 Scientific research and development,Lower VAT-rate,2010,Nov.-Dec.,4.7
72 Scientific research and development,Lower VAT-rate,2011,Jan.-Feb.,2.9
72 Scientific research and development,Lower VAT-rate,2011,March-April,3.7
72 Scientific research and development,Lower VAT-rate,2011,May-June,4.5
72 Scientific research and development,Lower VAT-rate,2011,July-August,4.8
72 Scientific research and development,Lower VAT-rate,2011,Sept.-Oct.,3.7
72 Scientific research and development,Lower VAT-rate,2011,Nov.-Dec.,7
72 Scientific research and development,Lower VAT-rate,2012,Jan.-Feb.,2.7
72 Scientific research and development,Lower VAT-rate,2012,March-April,2.7
72 Scientific research and development,Lower VAT-rate,2012,May-June,3.5
72 Scientific research and development,Lower VAT-rate,2012,July-August,7.2
72 Scientific research and development,Lower VAT-rate,2012,Sept.-Oct.,7.5
72 Scientific research and development,Lower VAT-rate,2012,Nov.-Dec.,5.6
72 Scientific research and development,Lower VAT-rate,2013,Jan.-Feb.,3
72 Scientific research and development,Lower VAT-rate,2013,March-April,4.6
72 Scientific research and development,Lower VAT-rate,2013,May-June,3.9
72 Scientific research and development,Lower VAT-rate,2013,July-August,6.2
72 Scientific research and development,Lower VAT-rate,2013,Sept.-Oct.,4.5
72 Scientific research and development,Lower VAT-rate,2013,Nov.-Dec.,6.7
72 Scientific research and development,Lower VAT-rate,2014,Jan.-Feb.,3.2
72 Scientific research and development,Lower VAT-rate,2014,March-April,4.2
72 Scientific research and development,Lower VAT-rate,2014,May-June,5.7
72 Scientific research and development,Lower VAT-rate,2014,July-August,7.7
72 Scientific research and development,Lower VAT-rate,2014,Sept.-Oct.,5.8
72 Scientific research and development,Lower VAT-rate,2014,Nov.-Dec.,6.6
72 Scientific research and development,Lower VAT-rate,2015,Jan.-Feb.,2.9
72 Scientific research and development,Lower VAT-rate,2015,March-April,3.7
72 Scientific research and development,Lower VAT-rate,2015,May-June,6.9
72 Scientific research and development,Lower VAT-rate,2015,July-August,12.5
72 Scientific research and development,Lower VAT-rate,2015,Sept.-Oct.,5.9
72 Scientific research and development,Lower VAT-rate,2015,Nov.-Dec.,9
72 Scientific research and development,Lower VAT-rate,2016,Jan.-Feb.,7.6
72 Scientific research and development,Lower VAT-rate,2016,March-April,16.2
72 Scientific research and development,Lower VAT-rate,2016,May-June,17.2
72 Scientific research and development,Lower VAT-rate,2016,July-August,12.4
72 Scientific research and development,Lower VAT-rate,2016,Sept.-Oct.,10.4
72 Scientific research and development,Lower VAT-rate,2016,Nov.-Dec.,14.6
72 Scientific research and development,Lower VAT-rate,2017,Jan.-Feb.,13.1
72 Scientific research and development,Lower VAT-rate,2017,March-April,13.7
72 Scientific research and development,Lower VAT-rate,2017,May-June,16.7
72 Scientific research and development,Lower VAT-rate,2017,July-August,19.7
72 Scientific research and development,Lower VAT-rate,2017,Sept.-Oct.,18.6
72 Scientific research and development,Lower VAT-rate,2017,Nov.-Dec.,17.9
72 Scientific research and development,Lower VAT-rate,2018,Jan.-Feb.,35.8
72 Scientific research and development,Lower VAT-rate,2018,March-April,33.2
72 Scientific research and development,Lower VAT-rate,2018,May-June,83.4
72 Scientific research and development,Lower VAT-rate,2018,July-August,57.8
72 Scientific research and development,Lower VAT-rate,2018,Sept.-Oct.,82.5
72 Scientific research and development,Lower VAT-rate,2018,Nov.-Dec.,86.5
72 Scientific research and development,Lower VAT-rate,2019,Jan.-Feb.,38.4
72 Scientific research and development,Lower VAT-rate,2019,March-April,80.7
72 Scientific research and development,Lower VAT-rate,2019,May-June,58.8
72 Scientific research and development,Lower VAT-rate,2019,July-August,67.8
72 Scientific research and development,Lower VAT-rate,2019,Sept.-Oct.,72.6
72 Scientific research and development,Lower VAT-rate,2019,Nov.-Dec.,104.7
72 Scientific research and development,Lower VAT-rate,2020,Jan.-Feb.,33.2
72 Scientific research and development,Lower VAT-rate,2020,March-April,29.5
72 Scientific research and development,Lower VAT-rate,2020,May-June,42
72 Scientific research and development,Lower VAT-rate,2020,July-August,74.2
72 Scientific research and development,Lower VAT-rate,2020,Sept.-Oct.,43
72 Scientific research and development,Lower VAT-rate,2020,Nov.-Dec.,86.5
72 Scientific research and development,Lower VAT-rate,2021,Jan.-Feb.,32.9
72 Scientific research and development,Lower VAT-rate,2021,March-April,39
72 Scientific research and development,Lower VAT-rate,2021,May-June,78.7
72 Scientific research and development,Lower VAT-rate,2021,July-August,73.6
72 Scientific research and development,Lower VAT-rate,2021,Sept.-Oct.,53.3
72 Scientific research and development,Lower VAT-rate,2021,Nov.-Dec.,46.5
72 Scientific research and development,Lower VAT-rate,2022,Jan.-Feb.,60.8
72 Scientific research and development,Lower VAT-rate,2022,March-April,42.5
72 Scientific research and development,Lower VAT-rate,2022,May-June,69.9
72 Scientific research and development,Lower VAT-rate,2022,July-August,55.4
72 Scientific research and development,Lower VAT-rate,2022,Sept.-Oct.,67.9
72 Scientific research and development,Lower VAT-rate,2022,Nov.-Dec.,47.9
72 Scientific research and development,Lower VAT-rate,2023,Jan.-Feb.,44.1
72 Scientific research and development,Lower VAT-rate,2023,March-April,54.2
72 Scientific research and development,Lower VAT-rate,2023,May-June,69.7
72 Scientific research and development,Lower VAT-rate,2023,July-August,82.1
72 Scientific research and development,Lower VAT-rate,2023,Sept.-Oct.,57.4
72 Scientific research and development,Lower VAT-rate,2023,Nov.-Dec.,25.8
72 Scientific research and development,Lower VAT-rate,2024,Jan.-Feb.,28.9
72 Scientific research and development,Lower VAT-rate,2024,March-April,22.4
72 Scientific research and development,Lower VAT-rate,2024,May-June,24.1
72 Scientific research and development,Lower VAT-rate,2024,July-August,35.9
72 Scientific research and development,Lower VAT-rate,2024,Sept.-Oct.,26.6
72 Scientific research and development,Lower VAT-rate,2024,Nov.-Dec.,21.4
72 Scientific research and development,Lower VAT-rate,2025,Jan.-Feb.,18.3
72 Scientific research and development,Lower VAT-rate,2025,March-April,23.2
72 Scientific research and development,Lower VAT-rate,2025,May-June,33.7
72 Scientific research and development,Lower VAT-rate,2025,July-August,42.6
72 Scientific research and development,Lower VAT-rate,2025,Sept.-Oct.,30.5
72 Scientific research and development,Lower VAT-rate,2025,Nov.-Dec.,34.4
72 Scientific research and development,Standard VAT-rate,2008,Jan.-Feb.,102.5
72 Scientific research and development,Standard VAT-rate,2008,March-April,379.5
72 Scientific research and development,Standard VAT-rate,2008,May-June,263.3
72 Scientific research and development,Standard VAT-rate,2008,July-August,192.8
72 Scientific research and development,Standard VAT-rate,2008,Sept.-Oct.,305.3
72 Scientific research and development,Standard VAT-rate,2008,Nov.-Dec.,372.8
72 Scientific research and development,Standard VAT-rate,2009,Jan.-Feb.,188
72 Scientific research and development,Standard VAT-rate,2009,March-April,300.1
72 Scientific research and development,Standard VAT-rate,2009,May-June,602.5
72 Scientific research and development,Standard VAT-rate,2009,July-August,270.1
72 Scientific research and development,Standard VAT-rate,2009,Sept.-Oct.,300.9
72 Scientific research and development,Standard VAT-rate,2009,Nov.-Dec.,1030.5
72 Scientific research and development,Standard VAT-rate,2010,Jan.-Feb.,225
72 Scientific research and development,Standard VAT-rate,2010,March-April,257.3
72 Scientific research and development,Standard VAT-rate,2010,May-June,655.8
72 Scientific research and development,Standard VAT-rate,2010,July-August,324.5
72 Scientific research and development,Standard VAT-rate,2010,Sept.-Oct.,334.3
72 Scientific research and development,Standard VAT-rate,2010,Nov.-Dec.,1034.9
72 Scientific research and development,Standard VAT-rate,2011,Jan.-Feb.,199.5
72 Scientific research and development,Standard VAT-rate,2011,March-April,241.6
72 Scientific research and development,Standard VAT-rate,2011,May-June,687.1
72 Scientific research and development,Standard VAT-rate,2011,July-August,260.7
72 Scientific research and development,Standard VAT-rate,2011,Sept.-Oct.,318.9
72 Scientific research and development,Standard VAT-rate,2011,Nov.-Dec.,1224.5
72 Scientific research and development,Standard VAT-rate,2012,Jan.-Feb.,264.5
72 Scientific research and development,Standard VAT-rate,2012,March-April,305.9
72 Scientific research and development,Standard VAT-rate,2012,May-June,736.2
72 Scientific research and development,Standard VAT-rate,2012,July-August,268.3
72 Scientific research and development,Standard VAT-rate,2012,Sept.-Oct.,320.6
72 Scientific research and development,Standard VAT-rate,2012,Nov.-Dec.,1330.5
72 Scientific research and development,Standard VAT-rate,2013,Jan.-Feb.,282.4
72 Scientific research and development,Standard VAT-rate,2013,March-April,275.9
72 Scientific research and development,Standard VAT-rate,2013,May-June,942.6
72 Scientific research and development,Standard VAT-rate,2013,July-August,305.8
72 Scientific research and development,Standard VAT-rate,2013,Sept.-Oct.,531.7
72 Scientific research and development,Standard VAT-rate,2013,Nov.-Dec.,1083.2
72 Scientific research and development,Standard VAT-rate,2014,Jan.-Feb.,519.6
72 Scientific research and development,Standard VAT-rate,2014,March-April,311.6
72 Scientific research and development,Standard VAT-rate,2014,May-June,1006.2
72 Scientific research and development,Standard VAT-rate,2014,July-August,485.3
72 Scientific research and development,Standard VAT-rate,2014,Sept.-Oct.,383
72 Scientific research and development,Standard VAT-rate,2014,Nov.-Dec.,1200.5
72 Scientific research and development,Standard VAT-rate,2015,Jan.-Feb.,330.3
72 Scientific research and development,Standard VAT-rate,2015,March-April,336.3
72 Scientific research and development,Standard VAT-rate,2015,May-June,963.9
72 Scientific research and development,Standard VAT-rate,2015,July-August,486.5
72 Scientific research and development,Standard VAT-rate,2015,Sept.-Oct.,465.2
72 Scientific research and development,Standard VAT-rate,2015,Nov.-Dec.,1498.5
72 Scientific research and development,Standard VAT-rate,2016,Jan.-Feb.,385.4
72 Scientific research and development,Standard VAT-rate,2016,March-April,462.1
72 Scientific research and development,Standard VAT-rate,2016,May-June,996.6
72 Scientific research and development,Standard VAT-rate,2016,July-August,389.1
72 Scientific research and development,Standard VAT-rate,2016,Sept.-Oct.,418.1
72 Scientific research and development,Standard VAT-rate,2016,Nov.-Dec.,1314.8
72 Scientific research and development,Standard VAT-rate,2017,Jan.-Feb.,406.3
