Atvinnugrein (ÍSAT2008),vsk-þrep,Ár,Tímabil,value
Total excluding agriculture and forestry,Total,2017,May-June,746168.6
Total excluding agriculture and forestry,Total,2017,July-August,745547
Total excluding agriculture and forestry,Total,2017,Sept.-Oct.,737078.6
Total excluding agriculture and forestry,Total,2017,Nov.-Dec.,754114.4
Total excluding agriculture and forestry,Total,2018,Jan.-Feb.,619819.6
Total excluding agriculture and forestry,Total,2018,March-April,695696.2
Total excluding agriculture and forestry,Total,2018,May-June,796908.3
Total excluding agriculture and forestry,Total,2018,July-August,812228
Total excluding agriculture and forestry,Total,2018,Sept.-Oct.,789883.6
Total excluding agriculture and forestry,Total,2018,Nov.-Dec.,803832.8
Total excluding agriculture and forestry,Total,2019,Jan.-Feb.,677701
Total excluding agriculture and forestry,Total,2019,March-April,729657.6
Total excluding agriculture and forestry,Total,2019,May-June,793648.2
Total excluding agriculture and forestry,Total,2019,July-August,824887.3
Total excluding agriculture and forestry,Total,2019,Sept.-Oct.,800708.6
Total excluding agriculture and forestry,Total,2019,Nov.-Dec.,796623.7
Total excluding agriculture and forestry,Total,2020,Jan.-Feb.,650055.1
Total excluding agriculture and forestry,Total,2020,March-April,653822.7
Total excluding agriculture and forestry,Total,2020,May-June,681704.8
Total excluding agriculture and forestry,Total,2020,July-August,719802.8
Total excluding agriculture and forestry,Total,2020,Sept.-Oct.,760188.8
Total excluding agriculture and forestry,Total,2020,Nov.-Dec.,794723.4
Total excluding agriculture and forestry,Total,2021,Jan.-Feb.,634981.6
Total excluding agriculture and forestry,Total,2021,March-April,776657.7
Total excluding agriculture and forestry,Total,2021,May-June,833399.2
