Kyn og landsvæði,Atvinnigrein (aðal- og aukastarf),Ár,Eining,value
Total,O - Public administration and defence; compulsory social security,2022,95% Conf.Int,1100
Total,O - Public administration and defence; compulsory social security,2023,Number (main and second job),11300
Total,O - Public administration and defence; compulsory social security,2023,95% Conf.Int,1100
Total,O - Public administration and defence; compulsory social security,2024,Number (main and second job),14900
Total,O - Public administration and defence; compulsory social security,2024,95% Conf.Int,1300
Total,O - Public administration and defence; compulsory social security,2025,Number (main and second job),14400
Total,O - Public administration and defence; compulsory social security,2025,95% Conf.Int,1200
Total,P - Education,1991,Number (main and second job),10300
Total,P - Education,1991,95% Conf.Int,1000
Total,P - Education,1992,Number (main and second job),11600
Total,P - Education,1992,95% Conf.Int,1000
Total,P - Education,1993,Number (main and second job),11900
Total,P - Education,1993,95% Conf.Int,1000
Total,P - Education,1994,Number (main and second job),12400
Total,P - Education,1994,95% Conf.Int,1000
Total,P - Education,1995,Number (main and second job),13300
Total,P - Education,1995,95% Conf.Int,1100
Total,P - Education,1996,Number (main and second job),13400
Total,P - Education,1996,95% Conf.Int,1100
Total,P - Education,1997,Number (main and second job),13100
Total,P - Education,1997,95% Conf.Int,1100
Total,P - Education,1998,Number (main and second job),13800
Total,P - Education,1998,95% Conf.Int,1100
Total,P - Education,1999,Number (main and second job),13600
Total,P - Education,1999,95% Conf.Int,1200
Total,P - Education,2000,Number (main and second job),14700
Total,P - Education,2000,95% Conf.Int,1200
Total,P - Education,2001,Number (main and second job),15500
Total,P - Education,2001,95% Conf.Int,1300
Total,P - Education,2002,Number (main and second job),16300
Total,P - Education,2002,95% Conf.Int,1300
Total,P - Education,2003,Number (main and second job),18400
Total,P - Education,2003,95% Conf.Int,1000
Total,P - Education,2004,Number (main and second job),18100
Total,P - Education,2004,95% Conf.Int,1000
Total,P - Education,2005,Number (main and second job),18700
Total,P - Education,2005,95% Conf.Int,1100
Total,P - Education,2006,Number (main and second job),19700
Total,P - Education,2006,95% Conf.Int,1100
Total,P - Education,2007,Number (main and second job),20600
Total,P - Education,2007,95% Conf.Int,1200
Total,P - Education,2008,Number (main and second job),22300
Total,P - Education,2008,95% Conf.Int,1200
Total,P - Education,2009,Number (main and second job),20800
Total,P - Education,2009,95% Conf.Int,1200
Total,P - Education,2010,Number (main and second job),20900
Total,P - Education,2010,95% Conf.Int,1200
Total,P - Education,2011,Number (main and second job),18700
Total,P - Education,2011,95% Conf.Int,1100
Total,P - Education,2012,Number (main and second job),19900
Total,P - Education,2012,95% Conf.Int,1100
Total,P - Education,2013,Number (main and second job),20900
Total,P - Education,2013,95% Conf.Int,1200
Total,P - Education,2014,Number (main and second job),22600
Total,P - Education,2014,95% Conf.Int,1300
Total,P - Education,2015,Number (main and second job),23700
Total,P - Education,2015,95% Conf.Int,1300
Total,P - Education,2016,Number (main and second job),24000
Total,P - Education,2016,95% Conf.Int,1400
Total,P - Education,2017,Number (main and second job),25200
Total,P - Education,2017,95% Conf.Int,1500
Total,P - Education,2018,Number (main and second job),25100
Total,P - Education,2018,95% Conf.Int,1400
Total,P - Education,2019,Number (main and second job),26400
Total,P - Education,2019,95% Conf.Int,1500
Total,P - Education,2020,Number (main and second job),26000
Total,P - Education,2020,95% Conf.Int,1400
Total,P - Education,2021,Number (main and second job),26200
Total,P - Education,2021,95% Conf.Int,1500
Total,P - Education,2022,Number (main and second job),28800
Total,P - Education,2022,95% Conf.Int,1600
Total,P - Education,2023,Number (main and second job),30200
Total,P - Education,2023,95% Conf.Int,1800
Total,P - Education,2024,Number (main and second job),30200
Total,P - Education,2024,95% Conf.Int,1900
Total,P - Education,2025,Number (main and second job),29200
Total,P - Education,2025,95% Conf.Int,1800
Total,Q - Human health and social work activities,1991,Number (main and second job),14500
Total,Q - Human health and social work activities,1991,95% Conf.Int,1300
Total,Q - Human health and social work activities,1992,Number (main and second job),14800
Total,Q - Human health and social work activities,1992,95% Conf.Int,1200
Total,Q - Human health and social work activities,1993,Number (main and second job),15300
Total,Q - Human health and social work activities,1993,95% Conf.Int,1200
Total,Q - Human health and social work activities,1994,Number (main and second job),16200
Total,Q - Human health and social work activities,1994,95% Conf.Int,1200
Total,Q - Human health and social work activities,1995,Number (main and second job),16400
Total,Q - Human health and social work activities,1995,95% Conf.Int,1200
Total,Q - Human health and social work activities,1996,Number (main and second job),16500
Total,Q - Human health and social work activities,1996,95% Conf.Int,1200
Total,Q - Human health and social work activities,1997,Number (main and second job),16200
Total,Q - Human health and social work activities,1997,95% Conf.Int,1200
Total,Q - Human health and social work activities,1998,Number (main and second job),16000
Total,Q - Human health and social work activities,1998,95% Conf.Int,1200
Total,Q - Human health and social work activities,1999,Number (main and second job),16200
Total,Q - Human health and social work activities,1999,95% Conf.Int,1300
Total,Q - Human health and social work activities,2000,Number (main and second job),15200
Total,Q - Human health and social work activities,2000,95% Conf.Int,1200
Total,Q - Human health and social work activities,2001,Number (main and second job),17500
Total,Q - Human health and social work activities,2001,95% Conf.Int,1300
Total,Q - Human health and social work activities,2002,Number (main and second job),16900
Total,Q - Human health and social work activities,2002,95% Conf.Int,1300
Total,Q - Human health and social work activities,2003,Number (main and second job),19600
Total,Q - Human health and social work activities,2003,95% Conf.Int,1100
Total,Q - Human health and social work activities,2004,Number (main and second job),17900
Total,Q - Human health and social work activities,2004,95% Conf.Int,1000
Total,Q - Human health and social work activities,2005,Number (main and second job),18400
Total,Q - Human health and social work activities,2005,95% Conf.Int,1100
Total,Q - Human health and social work activities,2006,Number (main and second job),19200
Total,Q - Human health and social work activities,2006,95% Conf.Int,1100
Total,Q - Human health and social work activities,2007,Number (main and second job),19400
Total,Q - Human health and social work activities,2007,95% Conf.Int,1100
Total,Q - Human health and social work activities,2008,Number (main and second job),20400
Total,Q - Human health and social work activities,2008,95% Conf.Int,1200
Total,Q - Human health and social work activities,2009,Number (main and second job),20400
Total,Q - Human health and social work activities,2009,95% Conf.Int,1200
Total,Q - Human health and social work activities,2010,Number (main and second job),21200
Total,Q - Human health and social work activities,2010,95% Conf.Int,1200
Total,Q - Human health and social work activities,2011,Number (main and second job),20600
Total,Q - Human health and social work activities,2011,95% Conf.Int,1200
Total,Q - Human health and social work activities,2012,Number (main and second job),19500
Total,Q - Human health and social work activities,2012,95% Conf.Int,1200
Total,Q - Human health and social work activities,2013,Number (main and second job),21300
Total,Q - Human health and social work activities,2013,95% Conf.Int,1200
Total,Q - Human health and social work activities,2014,Number (main and second job),20600
Total,Q - Human health and social work activities,2014,95% Conf.Int,1200
Total,Q - Human health and social work activities,2015,Number (main and second job),21800
Total,Q - Human health and social work activities,2015,95% Conf.Int,1300
Total,Q - Human health and social work activities,2016,Number (main and second job),22600
Total,Q - Human health and social work activities,2016,95% Conf.Int,1300
Total,Q - Human health and social work activities,2017,Number (main and second job),23900
Total,Q - Human health and social work activities,2017,95% Conf.Int,1500
Total,Q - Human health and social work activities,2018,Number (main and second job),24200
Total,Q - Human health and social work activities,2018,95% Conf.Int,1400
Total,Q - Human health and social work activities,2019,Number (main and second job),24600
Total,Q - Human health and social work activities,2019,95% Conf.Int,1500
Total,Q - Human health and social work activities,2020,Number (main and second job),25800
Total,Q - Human health and social work activities,2020,95% Conf.Int,1400
Total,Q - Human health and social work activities,2021,Number (main and second job),27800
Total,Q - Human health and social work activities,2021,95% Conf.Int,1500
Total,Q - Human health and social work activities,2022,Number (main and second job),28700
Total,Q - Human health and social work activities,2022,95% Conf.Int,1700
Total,Q - Human health and social work activities,2023,Number (main and second job),28400
Total,Q - Human health and social work activities,2023,95% Conf.Int,1800
Total,Q - Human health and social work activities,2024,Number (main and second job),31100
Total,Q - Human health and social work activities,2024,95% Conf.Int,2000
Total,Q - Human health and social work activities,2025,Number (main and second job),30700
Total,Q - Human health and social work activities,2025,95% Conf.Int,1900
Total,"R - Arts, entertainment and recreation",1991,Number (main and second job),2700
Total,"R - Arts, entertainment and recreation",1991,95% Conf.Int,500
Total,"R - Arts, entertainment and recreation",1992,Number (main and second job),2700
Total,"R - Arts, entertainment and recreation",1992,95% Conf.Int,500
Total,"R - Arts, entertainment and recreation",1993,Number (main and second job),3300
Total,"R - Arts, entertainment and recreation",1993,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",1994,Number (main and second job),4200
Total,"R - Arts, entertainment and recreation",1994,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",1995,Number (main and second job),4000
Total,"R - Arts, entertainment and recreation",1995,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",1996,Number (main and second job),4200
Total,"R - Arts, entertainment and recreation",1996,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",1997,Number (main and second job),3800
Total,"R - Arts, entertainment and recreation",1997,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",1998,Number (main and second job),4400
Total,"R - Arts, entertainment and recreation",1998,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",1999,Number (main and second job),4300
Total,"R - Arts, entertainment and recreation",1999,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2000,Number (main and second job),4100
Total,"R - Arts, entertainment and recreation",2000,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",2001,Number (main and second job),3400
Total,"R - Arts, entertainment and recreation",2001,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",2002,Number (main and second job),4100
Total,"R - Arts, entertainment and recreation",2002,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",2003,Number (main and second job),5200
Total,"R - Arts, entertainment and recreation",2003,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",2004,Number (main and second job),5900
Total,"R - Arts, entertainment and recreation",2004,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",2005,Number (main and second job),6300
Total,"R - Arts, entertainment and recreation",2005,95% Conf.Int,600
Total,"R - Arts, entertainment and recreation",2006,Number (main and second job),6800
Total,"R - Arts, entertainment and recreation",2006,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2007,Number (main and second job),7500
Total,"R - Arts, entertainment and recreation",2007,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2008,Number (main and second job),7200
Total,"R - Arts, entertainment and recreation",2008,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2009,Number (main and second job),6300
Total,"R - Arts, entertainment and recreation",2009,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2010,Number (main and second job),6600
Total,"R - Arts, entertainment and recreation",2010,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2011,Number (main and second job),7200
Total,"R - Arts, entertainment and recreation",2011,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2012,Number (main and second job),7500
Total,"R - Arts, entertainment and recreation",2012,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2013,Number (main and second job),7700
Total,"R - Arts, entertainment and recreation",2013,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2014,Number (main and second job),7500
Total,"R - Arts, entertainment and recreation",2014,95% Conf.Int,700
Total,"R - Arts, entertainment and recreation",2015,Number (main and second job),8500
Total,"R - Arts, entertainment and recreation",2015,95% Conf.Int,800
Total,"R - Arts, entertainment and recreation",2016,Number (main and second job),9300
Total,"R - Arts, entertainment and recreation",2016,95% Conf.Int,900
Total,"R - Arts, entertainment and recreation",2017,Number (main and second job),8800
Total,"R - Arts, entertainment and recreation",2017,95% Conf.Int,900
Total,"R - Arts, entertainment and recreation",2018,Number (main and second job),8700
Total,"R - Arts, entertainment and recreation",2018,95% Conf.Int,800
Total,"R - Arts, entertainment and recreation",2019,Number (main and second job),9000
Total,"R - Arts, entertainment and recreation",2019,95% Conf.Int,900
Total,"R - Arts, entertainment and recreation",2020,Number (main and second job),8400
Total,"R - Arts, entertainment and recreation",2020,95% Conf.Int,800
Total,"R - Arts, entertainment and recreation",2021,Number (main and second job),10100
Total,"R - Arts, entertainment and recreation",2021,95% Conf.Int,900
Total,"R - Arts, entertainment and recreation",2022,Number (main and second job),11200
Total,"R - Arts, entertainment and recreation",2022,95% Conf.Int,1100
Total,"R - Arts, entertainment and recreation",2023,Number (main and second job),10600
Total,"R - Arts, entertainment and recreation",2023,95% Conf.Int,1200
Total,"R - Arts, entertainment and recreation",2024,Number (main and second job),11300
Total,"R - Arts, entertainment and recreation",2024,95% Conf.Int,1300
Total,"R - Arts, entertainment and recreation",2025,Number (main and second job),10700
Total,"R - Arts, entertainment and recreation",2025,95% Conf.Int,1200
Total,S-X - Other activites,1991,Number (main and second job),5300
Total,S-X - Other activites,1991,95% Conf.Int,800
Total,S-X - Other activites,1992,Number (main and second job),4600
Total,S-X - Other activites,1992,95% Conf.Int,700
Total,S-X - Other activites,1993,Number (main and second job),4300
Total,S-X - Other activites,1993,95% Conf.Int,600
Total,S-X - Other activites,1994,Number (main and second job),4900
Total,S-X - Other activites,1994,95% Conf.Int,700
Total,S-X - Other activites,1995,Number (main and second job),5200
Total,S-X - Other activites,1995,95% Conf.Int,700
Total,S-X - Other activites,1996,Number (main and second job),5300
Total,S-X - Other activites,1996,95% Conf.Int,700
Total,S-X - Other activites,1997,Number (main and second job),6000
Total,S-X - Other activites,1997,95% Conf.Int,800
Total,S-X - Other activites,1998,Number (main and second job),5400
Total,S-X - Other activites,1998,95% Conf.Int,700
Total,S-X - Other activites,1999,Number (main and second job),5400
Total,S-X - Other activites,1999,95% Conf.Int,700
Total,S-X - Other activites,2000,Number (main and second job),5600
Total,S-X - Other activites,2000,95% Conf.Int,700
Total,S-X - Other activites,2001,Number (main and second job),5700
Total,S-X - Other activites,2001,95% Conf.Int,800
Total,S-X - Other activites,2002,Number (main and second job),5700
Total,S-X - Other activites,2002,95% Conf.Int,800
Total,S-X - Other activites,2003,Number (main and second job),5600
Total,S-X - Other activites,2003,95% Conf.Int,600
Total,S-X - Other activites,2004,Number (main and second job),5800
Total,S-X - Other activites,2004,95% Conf.Int,600
Total,S-X - Other activites,2005,Number (main and second job),6000
Total,S-X - Other activites,2005,95% Conf.Int,600
Total,S-X - Other activites,2006,Number (main and second job),5500
Total,S-X - Other activites,2006,95% Conf.Int,600
Total,S-X - Other activites,2007,Number (main and second job),5500
Total,S-X - Other activites,2007,95% Conf.Int,600
Total,S-X - Other activites,2008,Number (main and second job),4500
Total,S-X - Other activites,2008,95% Conf.Int,600
Total,S-X - Other activites,2009,Number (main and second job),4900
Total,S-X - Other activites,2009,95% Conf.Int,600
Total,S-X - Other activites,2010,Number (main and second job),5200
Total,S-X - Other activites,2010,95% Conf.Int,600
Total,S-X - Other activites,2011,Number (main and second job),5600
Total,S-X - Other activites,2011,95% Conf.Int,600
Total,S-X - Other activites,2012,Number (main and second job),5900
Total,S-X - Other activites,2012,95% Conf.Int,600
Total,S-X - Other activites,2013,Number (main and second job),5400
Total,S-X - Other activites,2013,95% Conf.Int,600
Total,S-X - Other activites,2014,Number (main and second job),5500
Total,S-X - Other activites,2014,95% Conf.Int,600
Total,S-X - Other activites,2015,Number (main and second job),6100
Total,S-X - Other activites,2015,95% Conf.Int,700
Total,S-X - Other activites,2016,Number (main and second job),6000
Total,S-X - Other activites,2016,95% Conf.Int,700
Total,S-X - Other activites,2017,Number (main and second job),6200
Total,S-X - Other activites,2017,95% Conf.Int,800
Total,S-X - Other activites,2018,Number (main and second job),6100
Total,S-X - Other activites,2018,95% Conf.Int,700
Total,S-X - Other activites,2019,Number (main and second job),6100
Total,S-X - Other activites,2019,95% Conf.Int,800
Total,S-X - Other activites,2020,Number (main and second job),4300
Total,S-X - Other activites,2020,95% Conf.Int,600
Total,S-X - Other activites,2021,Number (main and second job),5500
Total,S-X - Other activites,2021,95% Conf.Int,700
Total,S-X - Other activites,2022,Number (main and second job),6400
Total,S-X - Other activites,2022,95% Conf.Int,800
Total,S-X - Other activites,2023,Number (main and second job),7000
Total,S-X - Other activites,2023,95% Conf.Int,900
Total,S-X - Other activites,2024,Number (main and second job),8300
Total,S-X - Other activites,2024,95% Conf.Int,1000
Total,S-X - Other activites,2025,Number (main and second job),6400
Total,S-X - Other activites,2025,95% Conf.Int,900
Total,S - Other service activities,1991,Number (main and second job),4400
Total,S - Other service activities,1991,95% Conf.Int,700
Total,S - Other service activities,1992,Number (main and second job),4200
Total,S - Other service activities,1992,95% Conf.Int,600
Total,S - Other service activities,1993,Number (main and second job),4000
Total,S - Other service activities,1993,95% Conf.Int,600
Total,S - Other service activities,1994,Number (main and second job),3900
Total,S - Other service activities,1994,95% Conf.Int,600
Total,S - Other service activities,1995,Number (main and second job),4300
Total,S - Other service activities,1995,95% Conf.Int,600
Total,S - Other service activities,1996,Number (main and second job),4600
Total,S - Other service activities,1996,95% Conf.Int,600
Total,S - Other service activities,1997,Number (main and second job),5000
Total,S - Other service activities,1997,95% Conf.Int,700
Total,S - Other service activities,1998,Number (main and second job),4500
Total,S - Other service activities,1998,95% Conf.Int,700
Total,S - Other service activities,1999,Number (main and second job),4700
Total,S - Other service activities,1999,95% Conf.Int,700
Total,S - Other service activities,2000,Number (main and second job),4700
Total,S - Other service activities,2000,95% Conf.Int,700
Total,S - Other service activities,2001,Number (main and second job),4500
Total,S - Other service activities,2001,95% Conf.Int,700
Total,S - Other service activities,2002,Number (main and second job),4500
Total,S - Other service activities,2002,95% Conf.Int,700
Total,S - Other service activities,2003,Number (main and second job),5000
Total,S - Other service activities,2003,95% Conf.Int,500
Total,S - Other service activities,2004,Number (main and second job),5400
Total,S - Other service activities,2004,95% Conf.Int,600
Total,S - Other service activities,2005,Number (main and second job),5500
Total,S - Other service activities,2005,95% Conf.Int,600
Total,S - Other service activities,2006,Number (main and second job),5100
Total,S - Other service activities,2006,95% Conf.Int,600
Total,S - Other service activities,2007,Number (main and second job),5100
Total,S - Other service activities,2007,95% Conf.Int,600
Total,S - Other service activities,2008,Number (main and second job),4300
Total,S - Other service activities,2008,95% Conf.Int,500
Total,S - Other service activities,2009,Number (main and second job),4500
Total,S - Other service activities,2009,95% Conf.Int,600
Total,S - Other service activities,2010,Number (main and second job),4800
Total,S - Other service activities,2010,95% Conf.Int,600
Total,S - Other service activities,2011,Number (main and second job),5200
Total,S - Other service activities,2011,95% Conf.Int,600
Total,S - Other service activities,2012,Number (main and second job),5300
Total,S - Other service activities,2012,95% Conf.Int,600
Total,S - Other service activities,2013,Number (main and second job),4800
Total,S - Other service activities,2013,95% Conf.Int,600
Total,S - Other service activities,2014,Number (main and second job),4900
Total,S - Other service activities,2014,95% Conf.Int,600
Total,S - Other service activities,2015,Number (main and second job),5600
Total,S - Other service activities,2015,95% Conf.Int,700
Total,S - Other service activities,2016,Number (main and second job),5500
Total,S - Other service activities,2016,95% Conf.Int,700
Total,S - Other service activities,2017,Number (main and second job),5600
Total,S - Other service activities,2017,95% Conf.Int,700
Total,S - Other service activities,2018,Number (main and second job),5500
Total,S - Other service activities,2018,95% Conf.Int,700
Total,S - Other service activities,2019,Number (main and second job),5500
Total,S - Other service activities,2019,95% Conf.Int,700
Total,S - Other service activities,2020,Number (main and second job),4000
Total,S - Other service activities,2020,95% Conf.Int,600
Total,S - Other service activities,2021,Number (main and second job),5100
Total,S - Other service activities,2021,95% Conf.Int,700
Total,S - Other service activities,2022,Number (main and second job),5700
Total,S - Other service activities,2022,95% Conf.Int,700
Total,S - Other service activities,2023,Number (main and second job),6300
Total,S - Other service activities,2023,95% Conf.Int,800
Total,S - Other service activities,2024,Number (main and second job),6400
Total,S - Other service activities,2024,95% Conf.Int,900
Total,S - Other service activities,2025,Number (main and second job),6200
Total,S - Other service activities,2025,95% Conf.Int,900
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1991,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1991,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1992,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1992,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1993,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1993,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1994,Number (main and second job),100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1994,95% Conf.Int,100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1995,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1995,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1996,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1996,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1997,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1997,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1998,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1998,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1999,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,1999,95% Conf.Int,100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2000,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2000,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2001,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2001,95% Conf.Int,100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2002,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2002,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2003,Number (main and second job),100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2003,95% Conf.Int,100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2004,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2004,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2005,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2005,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2006,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2006,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2007,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2007,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2008,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2008,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2009,Number (main and second job),100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2009,95% Conf.Int,100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2010,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2010,95% Conf.Int,100
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2011,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2011,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2012,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2012,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2013,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2013,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2014,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2014,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2015,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2015,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2016,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2016,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2017,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2017,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2018,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2018,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2019,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2019,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2020,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2020,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2021,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2021,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2022,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2022,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2023,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2023,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2024,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2024,95% Conf.Int,0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2025,Number (main and second job),0
Total,T - Activities of households as employers; u0ndifferentiated goods- and services-producing activitie,2025,95% Conf.Int,0
Total,U - Activities of extraterritorial organisations and bodies,1991,Number (main and second job),800
Total,U - Activities of extraterritorial organisations and bodies,1991,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,1992,Number (main and second job),400
Total,U - Activities of extraterritorial organisations and bodies,1992,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,1993,Number (main and second job),300
Total,U - Activities of extraterritorial organisations and bodies,1993,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,1994,Number (main and second job),800
Total,U - Activities of extraterritorial organisations and bodies,1994,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,1995,Number (main and second job),800
Total,U - Activities of extraterritorial organisations and bodies,1995,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,1996,Number (main and second job),600
Total,U - Activities of extraterritorial organisations and bodies,1996,95% Conf.Int,200
Total,U - Activities of extraterritorial organisations and bodies,1997,Number (main and second job),900
Total,U - Activities of extraterritorial organisations and bodies,1997,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,1998,Number (main and second job),800
Total,U - Activities of extraterritorial organisations and bodies,1998,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,1999,Number (main and second job),700
Total,U - Activities of extraterritorial organisations and bodies,1999,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,2000,Number (main and second job),800
Total,U - Activities of extraterritorial organisations and bodies,2000,95% Conf.Int,300
Total,U - Activities of extraterritorial organisations and bodies,2001,Number (main and second job),1100
